team	institution	result	side	ballot	adjudicators
KCL C	KCL	2nd	Opening Government	View Ballot	Parth PandyaⒸ , Sachin Tissera , Leonie DoerrⓉ
Oxford A	Oxford	1st	Closing Opposition	View Ballot	Parth PandyaⒸ , Sachin Tissera , Leonie DoerrⓉ
Durham B	Durham	4th	Opening Opposition	View Ballot	Parth PandyaⒸ , Sachin Tissera , Leonie DoerrⓉ
Cambridge A	Cambridge	3rd	Closing Government	View Ballot	Parth PandyaⒸ , Sachin Tissera , Leonie DoerrⓉ
Oxford D	Oxford	1st	Opening Government	View Ballot	Cerys WalshⒸ , Alex Jamal , Guyberli van Thuijl , Manon MemmiⓉ
LSE B	LSE	3rd	Opening Opposition	View Ballot	Cerys WalshⒸ , Alex Jamal , Guyberli van Thuijl , Manon MemmiⓉ
Stanford A	Stanford	4th	Closing Opposition	View Ballot	Cerys WalshⒸ , Alex Jamal , Guyberli van Thuijl , Manon MemmiⓉ
Imperial A	Imperial	2nd	Closing Government	View Ballot	Cerys WalshⒸ , Alex Jamal , Guyberli van Thuijl , Manon MemmiⓉ
Middlebury C	Middlebury	4th	Closing Government	View Ballot	Ellie MiddletonⒸ , Robert Armstrong , Charles FuadⓉ
UCL A	UCL	3rd	Opening Opposition	View Ballot	Ellie MiddletonⒸ , Robert Armstrong , Charles FuadⓉ
Yale B	Yale	2nd	Closing Opposition	View Ballot	Ellie MiddletonⒸ , Robert Armstrong , Charles FuadⓉ
Yale A	Yale	1st	Opening Government	View Ballot	Ellie MiddletonⒸ , Robert Armstrong , Charles FuadⓉ
St Andrews MW	St Andrews	4th	Closing Government	View Ballot	David AfricaⒸ , Sasha Khovrak , Cassidy HoltⓉ
UoL A	UoL	1st	Opening Opposition	View Ballot	David AfricaⒸ , Sasha Khovrak , Cassidy HoltⓉ
Oxford B	Oxford	3rd	Opening Government	View Ballot	David AfricaⒸ , Sasha Khovrak , Cassidy HoltⓉ
Oxford/Zagreb A	—	2nd	Closing Opposition	View Ballot	David AfricaⒸ , Sasha Khovrak , Cassidy HoltⓉ
UCL B	UCL	3rd	Closing Opposition	View Ballot	Martha McKinney-PerryⒸ , Neva Ensminger-Holland , Manomay Lala-RaykarⓉ
HWS A	HWS	4th	Closing Government	View Ballot	Martha McKinney-PerryⒸ , Neva Ensminger-Holland , Manomay Lala-RaykarⓉ
Zagreb/ LSE A	—	1st	Opening Government	View Ballot	Martha McKinney-PerryⒸ , Neva Ensminger-Holland , Manomay Lala-RaykarⓉ
Malaya B	Malaya	2nd	Opening Opposition	View Ballot	Martha McKinney-PerryⒸ , Neva Ensminger-Holland , Manomay Lala-RaykarⓉ
