team	result	side	adjudicators
UCSD CL	3rd	Closing Government	Kiana Saint-MacaryⒸ , Kate Xinyi He , Simon Luo
UCLA CH	1st	Closing Opposition	Kiana Saint-MacaryⒸ , Kate Xinyi He , Simon Luo
Tufts HC	2nd	Opening Government	Rumen MarinovⒸ , Narey
UWODS SU	1st	Opening Opposition	Rumen MarinovⒸ , Narey
Hart House BS	3rd	Closing Government	Rumen MarinovⒸ , Narey
Dartmouth BC	2nd	Opening Government	Daniel Maier-GantⒸ , Aditya Dhar , Da&#x27;Von Boyd
Sodales BP	2nd	Opening Government	Sajneet MangatⒸ , Jessica Singh
Harvard QR	4th	Opening Government	Juanita Hincapie RestrepoⒸ , Erasmus Segbefia , Olga Enikeeva
Yale HK	3rd	Opening Opposition	Juanita Hincapie RestrepoⒸ , Erasmus Segbefia , Olga Enikeeva
MDU PR	1st	Closing Government	Juanita Hincapie RestrepoⒸ , Erasmus Segbefia , Olga Enikeeva
Princeton LW	2nd	Closing Opposition	Juanita Hincapie RestrepoⒸ , Erasmus Segbefia , Olga Enikeeva
Bates HM	2nd	Opening Government	Dennis SuⒸ , Parth Pandya , Tengku Omar
Duke CM	4th	Opening Opposition	Dennis SuⒸ , Parth Pandya , Tengku Omar
HWS KK	3rd	Closing Government	Dennis SuⒸ , Parth Pandya , Tengku Omar
Harvard HT	1st	Closing Opposition	Dennis SuⒸ , Parth Pandya , Tengku Omar
JHU MY	4th	Opening Government	Andrew ChenⒸ , Elgin Lin , Sam Huang
UChicago KN	2nd	Opening Opposition	Andrew ChenⒸ , Elgin Lin , Sam Huang
UChicago KL	1st	Closing Government	Andrew ChenⒸ , Elgin Lin , Sam Huang
Yale NS	3rd	Closing Opposition	Andrew ChenⒸ , Elgin Lin , Sam Huang
UWODS LZ	2nd	Opening Government	Jess MusulinⒸ , Cameron Chacon , Jasmine Moheb
Princeton AJ	4th	Opening Opposition	Jess MusulinⒸ , Cameron Chacon , Jasmine Moheb
Hart House HY	3rd	Closing Government	Jess MusulinⒸ , Cameron Chacon , Jasmine Moheb
Harvard LR	1st	Closing Opposition	Jess MusulinⒸ , Cameron Chacon , Jasmine Moheb
Hart House PR	3rd	Opening Government	Jack PalmerⒸ , Gaveal Fan
Princeton ML	2nd	Opening Government	Alice BertoniⒸ , Ruth Silcoff , Zachary Chambers
UWODS GS	4th	Opening Opposition	Alice BertoniⒸ , Ruth Silcoff , Zachary Chambers
UAlberta BJ	1st	Closing Government	Alice BertoniⒸ , Ruth Silcoff , Zachary Chambers
Harvard HS	3rd	Closing Opposition	Alice BertoniⒸ , Ruth Silcoff , Zachary Chambers
UCSD GW	4th	Closing Opposition	Rumen MarinovⒸ , Narey
