team	result	side	adjudicators
HWS KK	2nd	Closing Opposition	Udai KamathⒸ , Ruth Silcoff , Suman Mitra
Princeton MJ	2nd	Opening Government	Juanita Hincapie RestrepoⒸ , Alex Bavalsky , Elgin Lin
Northeastern AS	4th	Opening Opposition	Juanita Hincapie RestrepoⒸ , Alex Bavalsky , Elgin Lin
Princeton GI	1st	Closing Government	Juanita Hincapie RestrepoⒸ , Alex Bavalsky , Elgin Lin
Princeton AJ	3rd	Closing Opposition	Juanita Hincapie RestrepoⒸ , Alex Bavalsky , Elgin Lin
UChicago KL	1st	Opening Opposition	Klaudia MaciejewskaⒸ , Emily Shi , Sébastien Dunne Fulmer
Princeton ML	3rd	Closing Government	Klaudia MaciejewskaⒸ , Emily Shi , Sébastien Dunne Fulmer
MDU NZ	2nd	Closing Opposition	Klaudia MaciejewskaⒸ , Emily Shi , Sébastien Dunne Fulmer
Hart House HY	3rd	Opening Government	Tengku OmarⒸ , Jack Palmer , Trinh Le Quang
Davidson DW	2nd	Opening Government	Aliya FairuzⒸ , Narey
UCSD HU	1st	Opening Opposition	Aliya FairuzⒸ , Narey
UCSD FH	4th	Closing Government	Aliya FairuzⒸ , Narey
MDU CC	3rd	Closing Opposition	Aliya FairuzⒸ , Narey
UChicago CG	1st	Opening Government	Zachary ChambersⒸ , Liliana Gómez
Williams IL	2nd	Opening Opposition	Zachary ChambersⒸ , Liliana Gómez
UMiami LR	4th	Closing Government	Zachary ChambersⒸ , Liliana Gómez
JHU CW	3rd	Closing Opposition	Zachary ChambersⒸ , Liliana Gómez
UCSD CL	3rd	Opening Government	Dennis SuⒸ , Jessica Singh , Kate Xinyi He
Princeton HW	1st	Opening Opposition	Dennis SuⒸ , Jessica Singh , Kate Xinyi He
Princeton CW	4th	Opening Government	Alice BertoniⒸ
UWODS CL	4th	Opening Government	Simon LuoⒸ , Aditya Dhar , Patrick Cowley
JHU MY	2nd	Opening Opposition	Simon LuoⒸ , Aditya Dhar , Patrick Cowley
Bates HM	3rd	Closing Government	Simon LuoⒸ , Aditya Dhar , Patrick Cowley
Yale HK	1st	Closing Opposition	Simon LuoⒸ , Aditya Dhar , Patrick Cowley
Harvard LR	4th	Opening Government	Klaudia MaciejewskaⒸ , Emily Shi , Sébastien Dunne Fulmer
Yale BT	1st	Opening Opposition	Tengku OmarⒸ , Jack Palmer , Trinh Le Quang
MDU KL	4th	Closing Government	Tengku OmarⒸ , Jack Palmer , Trinh Le Quang
UWODS GS	2nd	Closing Opposition	Tengku OmarⒸ , Jack Palmer , Trinh Le Quang
UCalgary BT	3rd	Opening Opposition	Olga EnikeevaⒸ , Mayank Sharan
MDU DK	2nd	Closing Government	Olga EnikeevaⒸ , Mayank Sharan
Davidson ML	1st	Opening Government	Olga EnikeevaⒸ , Mayank Sharan
GWU PM	2nd	Opening Government	Jess MusulinⒸ , Da&#x27;Von Boyd , Emily Paulin
TEC GV	4th	Opening Opposition	Jess MusulinⒸ , Da&#x27;Von Boyd , Emily Paulin
UWODS LZ	3rd	Closing Government	Jess MusulinⒸ , Da&#x27;Von Boyd , Emily Paulin
Duke CM	1st	Closing Opposition	Jess MusulinⒸ , Da&#x27;Von Boyd , Emily Paulin
UCSD GW	4th	Opening Government	Jacob SilcoffⒸ , Anna Izyumova , Aoileann Ní Mhurchú
Hart House Swing C	2nd	Opening Opposition	Jacob SilcoffⒸ , Anna Izyumova , Aoileann Ní Mhurchú
UWODS SU	3rd	Closing Government	Jacob SilcoffⒸ , Anna Izyumova , Aoileann Ní Mhurchú
Hart House EM	1st	Closing Opposition	Jacob SilcoffⒸ , Anna Izyumova , Aoileann Ní Mhurchú
UAlberta BJ	3rd	Opening Government	Kiana Saint-MacaryⒸ , Cameron Chacon , Gaveal Fan
Oxford RW	2nd	Opening Opposition	Kiana Saint-MacaryⒸ , Cameron Chacon , Gaveal Fan
QDU WX	4th	Closing Government	Kiana Saint-MacaryⒸ , Cameron Chacon , Gaveal Fan
Harvard QR	1st	Closing Opposition	Kiana Saint-MacaryⒸ , Cameron Chacon , Gaveal Fan
Harvard PW	4th	Opening Government	Andrew ChenⒸ , David Steinberg , Erasmus Segbefia
Hart House YY	1st	Opening Opposition	Andrew ChenⒸ , David Steinberg , Erasmus Segbefia
EDS BK	3rd	Closing Government	Andrew ChenⒸ , David Steinberg , Erasmus Segbefia
Tufts HC	2nd	Closing Opposition	Andrew ChenⒸ , David Steinberg , Erasmus Segbefia
Swing 2	4th	Closing Opposition	Olga EnikeevaⒸ , Mayank Sharan
