Rk	team	categories	R1	R2	R3	R4	R5	R6	R7	R8	R9	Pts	Spk	1sts	2nds	3rds	Irons
62	TCD Phil AZ		3rd	4th	1st	2nd	2nd	4th	2nd	2nd	1st	15	1387	2	4	1	0
63	GUU B		2nd	1st	4th	2nd	2nd	3rd	3rd	1st	3rd	15	1382	2	3	3	0
64	Belgrade UM	ESL	1st	2nd	3rd	2nd	2nd	4th	2nd	1st	4th	15	1380	2	4	1	0
65=	UCD L&amp;H E		1st	4th	1st	4th	3rd	3rd	2nd	2nd	1st	15	1374	3	2	2	0
65=	Bristol A		3rd	1st	4th	1st	2nd	3rd	1st	4th	2nd	15	1374	3	2	2	0
67=	TCD Hist E		2nd	3rd	3rd	3rd	1st	4th	1st	1st	3rd	15	1370	3	1	4	0
67=	GUU C		3rd	3rd	1st	1st	3rd	1st	4th	2nd	3rd	15	1370	3	1	4	0
69	KDUW IG	ESL	2nd	3rd	4th	1st	3rd	3rd	1st	3rd	1st	15	1364	3	1	4	0
70	WIS B	ESL	4th	2nd	1st	3rd	3rd	1st	4th	1st	2nd	15	1347	3	2	2	0
71	OpenU LO	ESL	3rd	3rd	3rd	1st	2nd	4th	2nd	2nd	1st	15	1330	2	3	3	0
72	GUU A		1st	3rd	4th	1st	2nd	2nd	4th	1st	4th	14	1417	3	2	1	0
73	WIS A	ESL	1st	3rd	1st	1st	3rd	3rd	2nd	4th	4th	14	1412	3	1	3	0
74	Berlin PI	ESL	2nd	1st	3rd	2nd	4th	1st	4th	2nd	3rd	14	1406	2	3	2	0
75	Oxford E		1st	1st	3rd	4th	2nd	2nd	4th	3rd	2nd	14	1404	2	3	2	0
76	UCD LawSoc A		1st	2nd	4th	1st	3rd	2nd	3rd	3rd	3rd	14	1404	2	2	4	0
77	DC Munich C	ESL	4th	2nd	2nd	1st	2nd	3rd	1st	3rd	4th	14	1394	2	3	2	0
78	Technion C	ESL	1st	3rd	1st	4th	4th	1st	2nd	3rd	3rd	14	1392	3	1	3	0
79	Technion D	ESL	1st	1st	3rd	2nd	4th	2nd	3rd	3rd	3rd	14	1391	2	2	4	0
80	TCD Hist D		3rd	3rd	1st	3rd	3rd	1st	3rd	4th	1st	14	1387	3	0	5	0
81=	Cambridge C		4th	3rd	1st	2nd	3rd	1st	2nd	4th	2nd	14	1377	2	3	2	0
81=	ICL B		1st	4th	2nd	2nd	2nd	3rd	4th	3rd	1st	14	1377	2	3	2	0
83	Berlin B	ESL	4th	1st	3rd	4th	1st	2nd	3rd	1st	3rd	14	1374	3	1	3	0
84	Aberdeen BW		2nd	2nd	3rd	4th	3rd	2nd	3rd	1st	2nd	14	1371	1	4	3	0
85	Ljubljana TM	ESL	3rd	1st	3rd	2nd	3rd	3rd	4th	2nd	1st	14	1369	2	2	4	0
86	TAU A	ESL	4th	2nd	1st	3rd	4th	2nd	2nd	1st	3rd	14	1368	2	3	2	0
87	NU S	ESL	3rd	2nd	2nd	4th	1st	4th	3rd	1st	2nd	14	1364	2	3	2	0
88	Haifa A	ESL	3rd	1st	3rd	2nd	3rd	3rd	4th	1st	2nd	14	1364	2	2	4	0
89	Zagreb D	ESL	2nd	3rd	1st	4th	1st	4th	2nd	3rd	2nd	14	1361	2	3	2	0
90	WIS C	ESL	3rd	3rd	3rd	1st	3rd	4th	2nd	2nd	1st	14	1354	2	2	4	0
91	Tartu B	ESL	4th	1st	4th	1st	4th	2nd	3rd	2nd	1st	14	1352	3	2	1	0
92	TCD Hist B		2nd	3rd	2nd	1st	3rd	2nd	3rd	4th	3rd	13	1408	1	3	4	0
93	Durham A		3rd	1st	4th	1st	1st	4th	4th	2nd	3rd	13	1391	3	1	2	0
94	HUJI C		1st	4th	2nd	3rd	1st	4th	3rd	4th	1st	13	1385	3	1	2	0
95	Edinburgh CT		1st	4th	1st	4th	2nd	4th	1st	2nd	4th	13	1379	3	2	0	0
96	TCD Phil LM		2nd	2nd	4th	2nd	2nd	3rd	1st	3rd	4th	13	1377	1	4	2	0
97	ADS A		2nd	3rd	2nd	3rd	4th	1st	2nd	3rd	3rd	13	1377	1	3	4	0
98	Potsdam A	ESL	4th	1st	1st	2nd	3rd	4th	2nd	4th	2nd	13	1374	2	3	1	0
99	Sofia A	ESL	4th	1st	2nd	1st	4th	3rd	2nd	2nd	4th	13	1366	2	3	1	0
100	TCD Hist C		1st	3rd	2nd	3rd	4th	3rd	2nd	2nd	3rd	13	1366	1	3	4	0
101	Bristol B		1st	4th	3rd	2nd	3rd	1st	1st	4th	4th	13	1365	3	1	2	0
102	SdDUP A	ESL	3rd	1st	3rd	2nd	4th	2nd	2nd	2nd	4th	13	1365	1	4	2	0
103	RUNI B	ESL	2nd	3rd	3rd	3rd	1st	2nd	4th	4th	1st	13	1363	2	2	3	0
104	ICL A		3rd	3rd	2nd	3rd	1st	2nd	2nd	4th	3rd	13	1363	1	3	4	0
105	NU MS	ESL	3rd	2nd	2nd	3rd	4th	1st	2nd	4th	2nd	13	1356	1	4	2	0
106	Haifa C		1st	4th	2nd	4th	2nd	4th	4th	1st	1st	13	1354	3	2	0	0
107	Manchester A		3rd	4th	3rd	2nd	3rd	1st	1st	4th	2nd	13	1354	2	2	3	0
108	Corvinus A	ESL	4th	2nd	2nd	2nd	2nd	3rd	4th	1st	3rd	13	1347	1	4	2	0
109	DCAC YJ	ESL	3rd	2nd	3rd	3rd	3rd	1st	3rd	4th	1st	13	1334	2	1	5	1
110	Rederei A	ESL	3rd	4th	3rd	1st	2nd	1st	3rd	2nd	4th	13	1329	2	2	3	0
111	LDU B		2nd	3rd	4th	3rd	2nd	4th	1st	2nd	2nd	13	1324	1	4	2	0
112	Southampton A		3rd	4th	4th	4th	1st	2nd	1st	2nd	2nd	13	1323	2	3	1	0
113	RUNI A	ESL	4th	4th	3rd	3rd	1st	3rd	3rd	1st	1st	13	1291	3	0	4	0
114	Vienna D	ESL	4th	1st	4th	3rd	1st	1st	4th	2nd	4th	12	1367	3	1	1	0
115	KCL C		2nd	4th	3rd	2nd	4th	2nd	1st	3rd	3rd	12	1363	1	3	3	0
116	UDS B		3rd	2nd	3rd	3rd	3rd	1st	4th	4th	1st	12	1348	2	1	4	0
117	UCD LawSoc C		3rd	2nd	3rd	1st	4th	2nd	4th	3rd	2nd	12	1348	1	3	3	0
118	Amsterdam BZ	ESL	3rd	4th	2nd	3rd	1st	3rd	4th	1st	3rd	12	1343	2	1	4	0
119	WDS B		2nd	4th	3rd	4th	1st	3rd	3rd	1st	3rd	12	1342	2	1	4	0
120	NU AB	ESL	3rd	1st	2nd	3rd	4th	4th	4th	2nd	1st	12	1341	2	2	2	0
121	Haifa B	ESL	3rd	2nd	4th	1st	1st	4th	3rd	4th	2nd	12	1339	2	2	2	0
122	TCD Phil JK		4th	3rd	1st	1st	4th	2nd	3rd	3rd	3rd	12	1336	2	1	4	0
123	KDUW D	ESL	4th	2nd	4th	1st	2nd	4th	2nd	2nd	3rd	12	1336	1	4	1	0
124	UCD LawSoc B		2nd	4th	4th	1st	4th	2nd	3rd	2nd	2nd	12	1332	1	4	1	0
125	BGU C	ESL	3rd	2nd	2nd	3rd	4th	4th	2nd	3rd	1st	12	1332	1	3	3	0
126	Singidunum A	ESL	4th	3rd	1st	4th	1st	3rd	1st	3rd	4th	12	1331	3	0	3	0
127	Durham B		2nd	4th	3rd	4th	1st	3rd	1st	4th	2nd	12	1323	2	2	2	0
128	LDU A		3rd	4th	3rd	4th	1st	1st	1st	3rd	4th	12	1317	3	0	3	0
129	BGU B	ESL	4th	1st	3rd	4th	1st	4th	2nd	4th	2nd	11	1361	2	2	1	0
130	TAU R&amp;O	ESL	2nd	1st	4th	2nd	3rd	2nd	3rd	4th	4th	11	1358	1	3	2	0
131	Amsterdam EJ		1st	4th	4th	1st	2nd	2nd	3rd	4th	4th	11	1354	2	2	1	6
132	Belgrade MV	ESL	4th	3rd	2nd	2nd	2nd	2nd	3rd	3rd	4th	11	1350	0	4	3	0
133	HUJI B	ESL	2nd	4th	2nd	4th	2nd	3rd	1st	3rd	4th	11	1344	1	3	2	0
134	NDU A		4th	1st	1st	3rd	3rd	4th	4th	1st	4th	11	1343	3	0	2	0
135	TCD Phil BH		2nd	1st	4th	4th	4th	1st	4th	1st	4th	11	1340	3	1	0	0
136	EDS A		4th	2nd	4th	3rd	2nd	2nd	1st	3rd	4th	11	1339	1	3	2	0
137	Tartu C	ESL	4th	2nd	3rd	4th	4th	1st	3rd	1st	3rd	11	1335	2	1	3	0
138	OpenU LS	ESL	4th	3rd	1st	1st	3rd	4th	3rd	4th	2nd	11	1331	2	1	3	0
139	BGU D	ESL	4th	4th	1st	3rd	3rd	4th	3rd	2nd	1st	11	1329	2	1	3	0
140	Cardiff A		4th	4th	4th	2nd	4th	1st	1st	2nd	3rd	11	1321	2	2	1	0
141	Bilgi A	ESL	3rd	3rd	4th	2nd	4th	4th	2nd	1st	2nd	11	1314	1	3	2	0
142	VUDS A	ESL	3rd	4th	3rd	2nd	2nd	2nd	2nd	4th	3rd	11	1312	0	4	3	0
143	RUNI C		3rd	4th	4th	1st	3rd	3rd	1st	3rd	3rd	11	1300	2	0	5	0
144	LDU C		3rd	4th	1st	3rd	4th	2nd	4th	2nd	2nd	11	1298	1	3	2	0
145	BIU Z&amp;T		4th	1st	3rd	4th	2nd	4th	1st	3rd	3rd	11	1297	2	1	3	0
146	AUEB A	ESL	4th	3rd	4th	2nd	4th	4th	2nd	1st	1st	11	1267	2	2	1	0
147	Berlin D	ESL	2nd	2nd	4th	2nd	1st	4th	3rd	4th	4th	10	1343	1	3	1	0
148	Berlin C	ESL	2nd	4th	2nd	3rd	3rd	2nd	4th	2nd	4th	10	1341	0	4	2	0
149	KDUW A	ESL	2nd	4th	1st	4th	3rd	1st	4th	3rd	4th	10	1329	2	1	2	0
150	TAU SR	ESL	3rd	3rd	4th	1st	4th	1st	3rd	4th	3rd	10	1326	2	0	4	0
151	KU A	ESL	4th	3rd	2nd	1st	4th	4th	2nd	3rd	3rd	10	1325	1	2	3	0
152	EDS T&amp;T	ESL	2nd	3rd	1st	4th	4th	3rd	3rd	4th	2nd	10	1323	1	2	3	0
153	Aberdeen EP		3rd	4th	1st	4th	4th	1st	3rd	2nd	4th	10	1310	2	1	2	0
154	Leiden D		4th	3rd	2nd	3rd	3rd	1st	3rd	3rd	4th	10	1305	1	1	5	0
155	Vienna F	ESL	3rd	4th	2nd	3rd	4th	2nd	2nd	3rd	3rd	10	1301	0	3	4	0
156	BIU B	ESL	3rd	4th	4th	4th	3rd	2nd	2nd	3rd	1st	10	1299	1	2	3	0
157	TalTech A	ESL	2nd	4th	2nd	3rd	4th	4th	3rd	3rd	1st	10	1293	1	2	3	0
158	Inner Temple A		4th	2nd	4th	3rd	2nd	4th	1st	4th	2nd	10	1287	1	3	1	0
159	Athens A	ESL	3rd	2nd	2nd	4th	2nd	3rd	4th	3rd	4th	9	1329	0	3	3	0
160	MaDU A	ESL	2nd	2nd	3rd	4th	4th	3rd	4th	4th	1st	9	1321	1	2	2	0
161	WIS D	ESL	4th	3rd	2nd	2nd	3rd	3rd	4th	2nd	4th	9	1316	0	3	3	0
162	HUJI D	ESL	3rd	3rd	3rd	4th	1st	4th	3rd	3rd	3rd	9	1306	1	0	6	0
163	TU Dublin A		4th	3rd	3rd	4th	3rd	1st	4th	1st	4th	9	1296	2	0	3	0
164	RRIS B		4th	4th	2nd	4th	2nd	3rd	4th	2nd	2nd	9	1294	0	4	1	0
165	Campus Brussel A	ESL	4th	2nd	3rd	4th	3rd	2nd	2nd	4th	3rd	9	1290	0	3	3	0
166	HUJI E		4th	4th	3rd	1st	3rd	2nd	2nd	4th	4th	9	1283	1	2	2	0
167	HUJI F	ESL	4th	4th	2nd	3rd	2nd	3rd	3rd	3rd	4th	8	1301	0	2	4	0
168	RRIS A		4th	3rd	2nd	3rd	3rd	4th	4th	4th	1st	8	1299	1	1	3	0
169	ACG B		4th	4th	3rd	2nd	4th	4th	1st	2nd	4th	8	1286	1	2	1	0
170	UBDS A		3rd	3rd	4th	4th	2nd	3rd	3rd	4th	2nd	8	1286	0	2	4	0
171	Streitpunkt A		4th	3rd	4th	3rd	3rd	3rd	1st	4th	3rd	8	1280	1	0	5	0
172	Vienna E	ESL	4th	1st	4th	2nd	3rd	4th	4th	4th	2nd	8	1277	1	2	1	0
173	RUNI D	ESL	4th	4th	4th	4th	2nd	2nd	4th	1st	3rd	8	1249	1	2	1	0
174	ACG C	ESL	4th	2nd	4th	3rd	3rd	3rd	4th	3rd	3rd	7	1292	0	1	5	0
175	BIU C	ESL	3rd	2nd	4th	2nd	4th	3rd	4th	3rd	4th	7	1262	0	2	3	0
176	EDS PG		4th	4th	1st	4th	3rd	1st	4th	4th	4th	7	1258	2	0	1	0
177	VUDS B		4th	2nd	4th	2nd	4th	4th	2nd	4th	4th	6	1290	0	3	0	0
178	RSU A	ESL	4th	4th	3rd	4th	4th	3rd	3rd	2nd	3rd	6	1253	0	1	4	0
179	TU Dublin B		4th	4th	4th	1st	4th	4th	3rd	3rd	4th	5	1259	1	0	2	0
180	RRIS C		3rd	4th	4th	3rd	4th	4th	4th	4th	2nd	4	1251	0	1	2	0
181=	Swing Aatish		—	—	—	—	—	—	—	—	—	—	—	0	0	0	0
181=	Swing Menachem		—	—	—	—	—	—	—	—	—	—	—	0	0	0	0
181=	Swing Tanish		—	—	—	—	—	—	—	—	—	—	—	0	0	0	0
