team	institution	result	side	ballot	adjudicators
HG A - we overslept	HG	2nd	Opening Opposition	View Ballot	Farhan RahmanⒸ , Pao Taino
Swing 3	—	3rd	Closing Government	View Ballot	Farhan RahmanⒸ , Pao Taino
UPD soju + sprite + ice cream	UPD	1st	Closing Opposition	View Ballot	Farhan RahmanⒸ , Pao Taino
We survived feedback from Sachin	VIT	4th	Opening Government	View Ballot	Chu Đức AnⒸ , Gabe Tumanan
Badjudicators	SRCC	3rd	Opening Opposition	View Ballot	Chu Đức AnⒸ , Gabe Tumanan
Our Ma-Killing us for doing this	—	2nd	Closing Government	View Ballot	Chu Đức AnⒸ , Gabe Tumanan
UPD GarC Belt / Dame Buckle	UPD	1st	Closing Opposition	View Ballot	Chu Đức AnⒸ , Gabe Tumanan
Summer Time	—	1st	Opening Government	View Ballot	Louise WeeⒸ , Himan Nayak
EJC	EJC	3rd	Opening Opposition	View Ballot	Louise WeeⒸ , Himan Nayak
SRCC A	SRCC	4th	Closing Government	View Ballot	Louise WeeⒸ , Himan Nayak
UPD Lakers in 5	UPD	2nd	Closing Opposition	View Ballot	Louise WeeⒸ , Himan Nayak
That’s too… aggressive	—	2nd	Opening Government	View Ballot	Kelachukwu Austin ChisomⒸ , Ismail SafaⓉ
Hair Dye and Korean Girl	MUST	3rd	Opening Opposition	View Ballot	Kelachukwu Austin ChisomⒸ , Ismail SafaⓉ
Debating Debater	HG	1st	Closing Government	View Ballot	Kelachukwu Austin ChisomⒸ , Ismail SafaⓉ
Raccoons in Trenchcoats	—	4th	Closing Opposition	View Ballot	Kelachukwu Austin ChisomⒸ , Ismail SafaⓉ
NTUC Fairprice	NTU	3rd	Opening Government	View Ballot	Imran IlmamⒸ , Yuvraj BarthwalⓉ
salty beaches	UPLB	2nd	Opening Opposition	View Ballot	Imran IlmamⒸ , Yuvraj BarthwalⓉ
HG C - Taylor&#x27;s Version	HG	4th	Closing Government	View Ballot	Imran IlmamⒸ , Yuvraj BarthwalⓉ
Swing 4	—	1st	Closing Opposition	View Ballot	Imran IlmamⒸ , Yuvraj BarthwalⓉ
AdZMU grimace shake	—	3rd	Opening Government	View Ballot	Sunghyun ParkⒸ
BUTEX A	BUTEX	4th	Opening Opposition	View Ballot	Sunghyun ParkⒸ
Swing 2	—	2nd	Closing Government	View Ballot	Sunghyun ParkⒸ
Barbieland University A	UPLB	1st	Closing Opposition	View Ballot	Sunghyun ParkⒸ
its as shrimple as that	DLSU	3rd	Opening Government	View Ballot	Ayodele AdeyemiⒸ , Vincent Odong , Joash DalimbangⓉ
chicken	HKIS	4th	Opening Opposition	View Ballot	Ayodele AdeyemiⒸ , Vincent Odong , Joash DalimbangⓉ
Chee Sy	SMU	2nd	Closing Government	View Ballot	Ayodele AdeyemiⒸ , Vincent Odong , Joash DalimbangⓉ
nyanko warriors	—	1st	Closing Opposition	View Ballot	Ayodele AdeyemiⒸ , Vincent Odong , Joash DalimbangⓉ
Wage whores can&#x27;t spar at 3 PM	—	3rd	Opening Government	View Ballot	Manda Bagas KaraⒸ , Krishaang Kohli
RVCE A	RVCE	4th	Opening Opposition	View Ballot	Manda Bagas KaraⒸ , Krishaang Kohli
Auckland Harper and Aisha	Auckland	1st	Closing Government	View Ballot	Manda Bagas KaraⒸ , Krishaang Kohli
ADMU two number 9s	ADMU	2nd	Closing Opposition	View Ballot	Manda Bagas KaraⒸ , Krishaang Kohli
what are you doing stepbro: ep. 2	—	2nd	Opening Government	View Ballot	Aman GoyalⒸ , Hadome Joy Awulika
ADMU cheesy hamdesal with egg	ADMU	1st	Opening Opposition	View Ballot	Aman GoyalⒸ , Hadome Joy Awulika
