team	result	side	adjudicators
NTU SG	1st	Opening Opposition	Maša PopeskovićⒸ , Katharina Jansen
Sydney Freeland and Bakker	3rd	Closing Government	Maša PopeskovićⒸ , Katharina Jansen
UCLA am-am	2nd	Closing Opposition	Maša PopeskovićⒸ , Katharina Jansen
KNOBS A	3rd	Opening Government	Theo DorfnerⒸ , Lucie Slamova
HUJI It&#x27;s not new information it&#x27;s rest	2nd	Opening Opposition	Theo DorfnerⒸ , Lucie Slamova
TCD Phil B	4th	Closing Government	Theo DorfnerⒸ , Lucie Slamova
LSE A	1st	Closing Opposition	Theo DorfnerⒸ , Lucie Slamova
Chicago RJ	1st	Opening Government	Kevin LeeⒸ , Chu Duc An
Harvard AS	3rd	Opening Opposition	Kevin LeeⒸ , Chu Duc An
Monash Mutually Assured Destruction B	4th	Closing Government	Kevin LeeⒸ , Chu Duc An
TAU Swing A	2nd	Closing Opposition	Kevin LeeⒸ , Chu Duc An
NUS Pu Bor	1st	Opening Government	Liam UrbanⒸ , V Sayiram
KNUST Attakpah and Ametu	2nd	Opening Opposition	Liam UrbanⒸ , V Sayiram
Ambedkar I can&#x27;t	4th	Closing Government	Liam UrbanⒸ , V Sayiram
Ghana Team Avatar	3rd	Closing Opposition	Liam UrbanⒸ , V Sayiram
Imperial B(ackstreet&#x27;s back ALRIGHT)	2nd	Opening Government	Lior SokolⒸ
Mice In Our Walls	1st	Opening Opposition	Lior SokolⒸ
Rosario A (Sloterdijk)	3rd	Closing Government	Lior SokolⒸ
BGU DNS	4th	Closing Opposition	Lior SokolⒸ
UCLA Opinionators	3rd	Opening Government	Marina KojićⒸ
SISU Manphia	2nd	Opening Opposition	Marina KojićⒸ
Ateneo 1	1st	Closing Government	Marina KojićⒸ
HGHS no solvency	4th	Closing Opposition	Marina KojićⒸ
BINUS A	3rd	Opening Government	Dino WildiⒸ , Mezen Lababidi
Tokyo Climb up the debating ladder	4th	Opening Government	Zach Godley-McAvoyⒸ , Xinyu Hu
NUS Rise too high must fall	3rd	Opening Opposition	Zach Godley-McAvoyⒸ , Xinyu Hu
De La Salle Kuo Tiffany	2nd	Closing Government	Zach Godley-McAvoyⒸ , Xinyu Hu
Reichman A	1st	Closing Opposition	Zach Godley-McAvoyⒸ , Xinyu Hu
BUET No name cause our minds went blank	2nd	Opening Government	Mukhtar TashkenbayevⒸ , Tommy Koh
qfin ppl	3rd	Opening Opposition	Mukhtar TashkenbayevⒸ , Tommy Koh
Harvard no confidence in this case	1st	Closing Government	Mukhtar TashkenbayevⒸ , Tommy Koh
UNSW B	4th	Closing Opposition	Mukhtar TashkenbayevⒸ , Tommy Koh
Oxford KE	1st	Opening Government	Helena HeckeⒸ , Pratham Dikshit
Harvard BB	3rd	Opening Opposition	Helena HeckeⒸ , Pratham Dikshit
Chicago LW	4th	Closing Government	Helena HeckeⒸ , Pratham Dikshit
UNWE A(ustria let us in Schengen pls)	2nd	Closing Opposition	Helena HeckeⒸ , Pratham Dikshit
Melbourne B	1st	Opening Government	Alex McCreadieⒸ , Owen Goodacre
Seoul Somaek	2nd	Opening Opposition	Alex McCreadieⒸ , Owen Goodacre
Munich Pēgasos	3rd	Closing Government	Alex McCreadieⒸ , Owen Goodacre
Tokyo YY	4th	Closing Opposition	Alex McCreadieⒸ , Owen Goodacre
Chicago GK	1st	Opening Opposition	Leauren S. JiⒸ , Saleem Salisu
TCD Hist A	2nd	Opening Government	Leauren S. JiⒸ , Saleem Salisu
Chicago JR	1st	Opening Government	Amelia PotockaⒸ , Ryosei Kobayashi
PUCP A	3rd	Opening Opposition	Amelia PotockaⒸ , Ryosei Kobayashi
BGU strategic 4th	4th	Closing Government	Amelia PotockaⒸ , Ryosei Kobayashi
Sofia B(	2nd	Closing Opposition	Amelia PotockaⒸ , Ryosei Kobayashi
Harvard LT	1st	Opening Opposition	Dino WildiⒸ , Mezen Lababidi
Edinburgh Bunker vaping call that Enver Hoxh	4th	Closing Government	Dino WildiⒸ , Mezen Lababidi
Dartmouth am i visible	2nd	Closing Opposition	Dino WildiⒸ , Mezen Lababidi
Thammasat Fluffy Quokka	3rd	Opening Government	Chesta BⒸ , Choy Sum Yee Evelyn
Berlin A	4th	Opening Opposition	Chesta BⒸ , Choy Sum Yee Evelyn
UL Team SL	2nd	Closing Government	Chesta BⒸ , Choy Sum Yee Evelyn
Oxford DN	1st	Closing Opposition	Chesta BⒸ , Choy Sum Yee Evelyn
Yale-NUS We&#x27;re Both Asian We Swear	3rd	Opening Government	Wajeeh “look what the Kat dragged in” MaazⒸ , Joanna Rzempoluch
Chicago MP	4th	Opening Opposition	Wajeeh “look what the Kat dragged in” MaazⒸ , Joanna Rzempoluch
Tokyo YT	1st	Closing Government	Wajeeh “look what the Kat dragged in” MaazⒸ , Joanna Rzempoluch
Oxford AP	2nd	Closing Opposition	Wajeeh “look what the Kat dragged in” MaazⒸ , Joanna Rzempoluch
LSE Finally prepping worlds with the r	2nd	Opening Government	Diego DuarteⒸ , Mahesh R
Zagreb LF	4th	Opening Opposition	Diego DuarteⒸ , Mahesh R
Tokyo Garden Dog	3rd	Closing Government	Diego DuarteⒸ , Mahesh R
Imperial A	1st	Closing Opposition	Diego DuarteⒸ , Mahesh R
IUB Birdie Association	1st	Opening Government	Ethan CurryⒸ , Veda Nair
Chile Flo and Peralta Inc.	3rd	Opening Opposition	Ethan CurryⒸ , Veda Nair
Seoul Chimaek	4th	Closing Government	Ethan CurryⒸ , Veda Nair
BUET C	2nd	Closing Opposition	Ethan CurryⒸ , Veda Nair
NUS Boy Bawang	2nd	Opening Opposition	Pjotr KosterⒸ , Sam Penno
Melbourne Bye, Melbourne Mini!	1st	Closing Government	Pjotr KosterⒸ , Sam Penno
Chula A	4th	Closing Opposition	Pjotr KosterⒸ , Sam Penno
TAU R&amp;O	3rd	Opening Government	Pjotr KosterⒸ , Sam Penno
Manthan you&#x27;re on your own kid	4th	Opening Government	Nathaniel YoonⒸ
Split Otrova u chay	2nd	Opening Opposition	Nathaniel YoonⒸ
NTU NL	3rd	Closing Government	Nathaniel YoonⒸ
Zagreb A	1st	Closing Opposition	Nathaniel YoonⒸ
Swing A	4th	Opening Government	Lucy McManusⒸ , Daniel Walsh
Technion not throwing the wolves to the wol	2nd	Opening Opposition	Lucy McManusⒸ , Daniel Walsh
BJ A	3rd	Closing Government	Lucy McManusⒸ , Daniel Walsh
Started from mail-order brides now	1st	Closing Opposition	Lucy McManusⒸ , Daniel Walsh
HUJI Hujilicious	2nd	Opening Government	Youngwoo ParkⒸ , Tousif Tanvir Alam
Cambridge HCI A	4th	Opening Opposition	Youngwoo ParkⒸ , Tousif Tanvir Alam
Bucharest A(ustria&#x27;s immigration problem)	1st	Closing Government	Youngwoo ParkⒸ , Tousif Tanvir Alam
Oxford MF	3rd	Closing Opposition	Youngwoo ParkⒸ , Tousif Tanvir Alam
Skyrocket	4th	Closing Government	Leauren S. JiⒸ , Saleem Salisu
AUEB Voyager 1 &amp; 2	3rd	Closing Opposition	Leauren S. JiⒸ , Saleem Salisu
