team	result	side	adjudicators
Monash Mutually Assured Destruction B	3rd	Closing Opposition	Narayan SharmaⒸ , Saleem Salisu
SISU Manphia	3rd	Opening Government	Dino WildiⒸ , Joanna Rzempoluch
Ambedkar I can&#x27;t	4th	Opening Opposition	Dino WildiⒸ , Joanna Rzempoluch
Swing A	1st	Closing Government	Dino WildiⒸ , Joanna Rzempoluch
Monash D	2nd	Closing Opposition	Dino WildiⒸ , Joanna Rzempoluch
BJ A	2nd	Opening Government	Paolo TainoⒸ , Anqi Li
KNOBS A	3rd	Opening Opposition	Paolo TainoⒸ , Anqi Li
NUS Rise too high must fall	4th	Closing Government	Paolo TainoⒸ , Anqi Li
Sydney Druce &amp; Kuo	1st	Closing Opposition	Paolo TainoⒸ , Anqi Li
Cambridge we dont know	2nd	Opening Opposition	Liam UrbanⒸ , Xinyu Hu
TCD Hist A	4th	Closing Government	Liam UrbanⒸ , Xinyu Hu
Zagreb LF	3rd	Closing Opposition	Liam UrbanⒸ , Xinyu Hu
UNSW B	1st	Opening Government	Liam UrbanⒸ , Xinyu Hu
Yeonwoo and Salleh	4th	Opening Opposition	Josef MoscoviciⒸ , Chesta B
Cambridge Do You Know?	3rd	Closing Government	Josef MoscoviciⒸ , Chesta B
Chicago GK	2nd	Closing Opposition	Josef MoscoviciⒸ , Chesta B
Dartmouth am i visible	1st	Opening Government	Josef MoscoviciⒸ , Chesta B
NTU SG	1st	Opening Government	Njuguna MachariaⒸ , Amelia Potocka
BUET No name cause our minds went blank	3rd	Opening Opposition	Njuguna MachariaⒸ , Amelia Potocka
De La Salle AA	2nd	Closing Government	Njuguna MachariaⒸ , Amelia Potocka
Budapest A	4th	Closing Opposition	Njuguna MachariaⒸ , Amelia Potocka
qfin ppl	1st	Opening Government	Lara DragojevicⒸ , Daniel Walsh
Munich Pēgasos	3rd	Opening Opposition	Lara DragojevicⒸ , Daniel Walsh
BGU DNS	4th	Closing Government	Lara DragojevicⒸ , Daniel Walsh
TAU R&amp;O	2nd	Closing Opposition	Lara DragojevicⒸ , Daniel Walsh
