team	result	side	adjudicators
Cornell OM	3rd	Opening Government	Adam BanihaniⒸ , Katie Hiillemeyer , Yifan Wang , Ahwar KhanⓉ , Annie KaplanⓉ
Colgate DR	1st	Opening Opposition	Adam BanihaniⒸ , Katie Hiillemeyer , Yifan Wang , Ahwar KhanⓉ , Annie KaplanⓉ
HWS MH	4th	Closing Government	Adam BanihaniⒸ , Katie Hiillemeyer , Yifan Wang , Ahwar KhanⓉ , Annie KaplanⓉ
Carleton SH	2nd	Closing Opposition	Adam BanihaniⒸ , Katie Hiillemeyer , Yifan Wang , Ahwar KhanⓉ , Annie KaplanⓉ
EDS GA	2nd	Closing Government	Michael WarrenⒸ , Tammy Yamile Leon Molina , Tessa Smith , Nicolas Diaz-AguilarⓉ , Zichao QianⓉ
UWODS CW	2nd	Opening Government	Josh CohenⒸ , Gregory Kwok , Kate Xinyi He 🕷️ , Silin WeiⓉ
McGill WM	3rd	Opening Opposition	Josh CohenⒸ , Gregory Kwok , Kate Xinyi He 🕷️ , Silin WeiⓉ
Carleton GC	1st	Closing Government	Josh CohenⒸ , Gregory Kwok , Kate Xinyi He 🕷️ , Silin WeiⓉ
Waterloo FL	4th	Closing Opposition	Josh CohenⒸ , Gregory Kwok , Kate Xinyi He 🕷️ , Silin WeiⓉ
Davidson WB	1st	Opening Government	Johan LukitoⒸ , Marisa Modugno , Saad Rizwan , Serafima BakhandⓉ
Rutgers VA	4th	Opening Opposition	Johan LukitoⒸ , Marisa Modugno , Saad Rizwan , Serafima BakhandⓉ
HWS WH	3rd	Closing Government	Johan LukitoⒸ , Marisa Modugno , Saad Rizwan , Serafima BakhandⓉ
McMaster DM	2nd	Closing Opposition	Johan LukitoⒸ , Marisa Modugno , Saad Rizwan , Serafima BakhandⓉ
Harvard MW	1st	Opening Government	Arpi YangⒸ , Amalie Wilkinson , Ghuntas Aulakh , Jaanashee PunjabiⓉ
UBC BG	4th	Opening Opposition	Arpi YangⒸ , Amalie Wilkinson , Ghuntas Aulakh , Jaanashee PunjabiⓉ
Waterloo AC	3rd	Closing Government	Arpi YangⒸ , Amalie Wilkinson , Ghuntas Aulakh , Jaanashee PunjabiⓉ
UBC CJ	2nd	Closing Opposition	Arpi YangⒸ , Amalie Wilkinson , Ghuntas Aulakh , Jaanashee PunjabiⓉ
Rochester LN	2nd	Opening Government	Daniel SchonningⒸ , Clementina Aboagye , Jessica Musulin , Raymond QiuⓉ
UWODS DH	3rd	Opening Opposition	Daniel SchonningⒸ , Clementina Aboagye , Jessica Musulin , Raymond QiuⓉ
Swing 2	1st	Closing Government	Daniel SchonningⒸ , Clementina Aboagye , Jessica Musulin , Raymond QiuⓉ
Princeton ZK	4th	Closing Opposition	Daniel SchonningⒸ , Clementina Aboagye , Jessica Musulin , Raymond QiuⓉ
McMaster AD	4th	Opening Government	Serena YuanⒸ , George Macauley , Tymofii Trakhachov , Amir RezaeiⓉ , Robert ArmstrongⓉ
Alberta TS	2nd	Opening Opposition	Serena YuanⒸ , George Macauley , Tymofii Trakhachov , Amir RezaeiⓉ , Robert ArmstrongⓉ
Stanford KP	1st	Closing Government	Serena YuanⒸ , George Macauley , Tymofii Trakhachov , Amir RezaeiⓉ , Robert ArmstrongⓉ
McGill IF	3rd	Closing Opposition	Serena YuanⒸ , George Macauley , Tymofii Trakhachov , Amir RezaeiⓉ , Robert ArmstrongⓉ
Princeton XI	1st	Opening Government	Kayla PowersⒸ , Isabelle Feng , Lucie Slamova , Jack ZhuⓉ
Queen&#x27;s AW	2nd	Opening Opposition	Kayla PowersⒸ , Isabelle Feng , Lucie Slamova , Jack ZhuⓉ
Carleton VC	3rd	Closing Government	Kayla PowersⒸ , Isabelle Feng , Lucie Slamova , Jack ZhuⓉ
Cornell TY	4th	Closing Opposition	Kayla PowersⒸ , Isabelle Feng , Lucie Slamova , Jack ZhuⓉ
McMaster NZ	3rd	Opening Opposition	Tyler LiⒸ , Eyasu Yakob , Latisha Lau , Anette XiaⓉ
UBC PW	1st	Closing Government	Tyler LiⒸ , Eyasu Yakob , Latisha Lau , Anette XiaⓉ
Cambridge AF	2nd	Closing Opposition	Tyler LiⒸ , Eyasu Yakob , Latisha Lau , Anette XiaⓉ
Dartmouth/Dino XW	3rd	Opening Government	Tanvir ShahriarⒸ , Júlia García Güell , Will Nunley , Isabel ZakⓉ
TBA A	1st	Opening Opposition	Tanvir ShahriarⒸ , Júlia García Güell , Will Nunley , Isabel ZakⓉ
McGill YM	4th	Closing Government	Tanvir ShahriarⒸ , Júlia García Güell , Will Nunley , Isabel ZakⓉ
McGill RS	2nd	Closing Opposition	Tanvir ShahriarⒸ , Júlia García Güell , Will Nunley , Isabel ZakⓉ
Queen&#x27;s KW	4th	Opening Government	Tyler LiⒸ , Eyasu Yakob , Latisha Lau , Anette XiaⓉ
UBC Mv	2nd	Opening Government	Enshia LiⒸ , Dihan Mashroor Niloy , Liz Yanguez , Jassaira Diaz MelgarⓉ
Duke CJ	3rd	Opening Opposition	Enshia LiⒸ , Dihan Mashroor Niloy , Liz Yanguez , Jassaira Diaz MelgarⓉ
Victoria BS	1st	Closing Government	Enshia LiⒸ , Dihan Mashroor Niloy , Liz Yanguez , Jassaira Diaz MelgarⓉ
Duke YL	4th	Closing Opposition	Enshia LiⒸ , Dihan Mashroor Niloy , Liz Yanguez , Jassaira Diaz MelgarⓉ
