team	institution	result	side	ballot	adjudicators
We can	RVCE	4th	Opening Government	View Ballot	Archit LahiriⒸ , Tejas BaviskarⓉ
Jugadu Debaters	GC	2nd	Opening Opposition	View Ballot	Archit LahiriⒸ , Tejas BaviskarⓉ
Old Monk x Ice Burst	—	1st	Closing Government	View Ballot	Archit LahiriⒸ , Tejas BaviskarⓉ
A2A Debaters	CUB	3rd	Closing Opposition	View Ballot	Archit LahiriⒸ , Tejas BaviskarⓉ
Comeback ng mga anti-man na kalahok	DLSU SHS	3rd	Opening Government	View Ballot	Simran nischalⒸ , Shreya SahiⓉ
RVCE E	RVCE	4th	Opening Opposition	View Ballot	Simran nischalⒸ , Shreya SahiⓉ
gah! goo! par! eh!	DLSU SHS	2nd	Closing Government	View Ballot	Simran nischalⒸ , Shreya SahiⓉ
GLC-SXC Cross	—	1st	Closing Opposition	View Ballot	Simran nischalⒸ , Shreya SahiⓉ
Dumb and Dumber	BITSG	3rd	Opening Government	View Ballot	Pratyush Kumar ShekharⒸ , CherishmaⓉ
Drop ur letterboxd	SLSP	2nd	Opening Opposition	View Ballot	Pratyush Kumar ShekharⒸ , CherishmaⓉ
Debate Nerds	GLCM	4th	Closing Government	View Ballot	Pratyush Kumar ShekharⒸ , CherishmaⓉ
MH	MHUD	1st	Closing Opposition	View Ballot	Pratyush Kumar ShekharⒸ , CherishmaⓉ
Malaysia For Dummies	—	1st	Opening Government	View Ballot	Sam UnabiaⒸ , Akshatha Sabaji , Ron Simon LomibaoⓉ
Hope-less	CUB	2nd	Opening Opposition	View Ballot	Sam UnabiaⒸ , Akshatha Sabaji , Ron Simon LomibaoⓉ
Rangeen kapda bhi kheel kheel jaye	VIT	3rd	Closing Government	View Ballot	Sam UnabiaⒸ , Akshatha Sabaji , Ron Simon LomibaoⓉ
Trained by Michael scott	DNLU	4th	Closing Opposition	View Ballot	Sam UnabiaⒸ , Akshatha Sabaji , Ron Simon LomibaoⓉ
PATIENT ZERO	RCL	4th	Opening Government	View Ballot	Meghana SrinivasⒸ , Aryennh Kulkarni , Parshav JainⓉ
Panel Pleasers	MCDU	1st	Opening Opposition	View Ballot	Meghana SrinivasⒸ , Aryennh Kulkarni , Parshav JainⓉ
Breaking Bad	HNLU	3rd	Closing Government	View Ballot	Meghana SrinivasⒸ , Aryennh Kulkarni , Parshav JainⓉ
Nicotine 2.0	JGU	2nd	Closing Opposition	View Ballot	Meghana SrinivasⒸ , Aryennh Kulkarni , Parshav JainⓉ
Masala Dosa	PESU	4th	Opening Government	View Ballot	Cici LiuⒸ , Sakshi KasalaⓉ
Objection	GLCM	2nd	Opening Opposition	View Ballot	Cici LiuⒸ , Sakshi KasalaⓉ
Swing 2	—	3rd	Closing Government	View Ballot	Cici LiuⒸ , Sakshi KasalaⓉ
We hate debating	UPES	3rd	Opening Government	View Ballot	Snigdha PriyadarshiniⒸ , Souritri SantraⓉ
Monday Spar	—	1st	Opening Opposition	View Ballot	Snigdha PriyadarshiniⒸ , Souritri SantraⓉ
Kerwa Kings 👑	NLIUB	4th	Closing Government	View Ballot	Snigdha PriyadarshiniⒸ , Souritri SantraⓉ
Ying and Yang	NUL	2nd	Closing Opposition	View Ballot	Snigdha PriyadarshiniⒸ , Souritri SantraⓉ
RVCE B	RVCE	4th	Opening Government	View Ballot	Dylan SalcedoⒸ , Jahnavi RishikeshⓉ , YajatⓉ
BP is the because	SXCK	1st	Opening Opposition	View Ballot	Dylan SalcedoⒸ , Jahnavi RishikeshⓉ , YajatⓉ
Ninnn…	RCL	2nd	Closing Government	View Ballot	Dylan SalcedoⒸ , Jahnavi RishikeshⓉ , YajatⓉ
TRUE	SLSP	3rd	Closing Opposition	View Ballot	Dylan SalcedoⒸ , Jahnavi RishikeshⓉ , YajatⓉ
The Invincibles	SXCK	4th	Opening Government	View Ballot	Anusha JainⒸ
Chandraywan-Aachar samporn soch vic	—	1st	Opening Opposition	View Ballot	Anusha JainⒸ
XLRI Xlerate	XLRIJ	2nd	Closing Government	View Ballot	Anusha JainⒸ
Marx-less Marksheet	SXCK	3rd	Closing Opposition	View Ballot	Anusha JainⒸ
Kya Rakhe Naam	SXCK	2nd	Opening Government	View Ballot	Prosper Michael AmetuⒸ , ANGAD MATHARU
Sabki Pasand Nirma!	VIT	1st	Opening Opposition	View Ballot	Prosper Michael AmetuⒸ , ANGAD MATHARU
Team Redundancy Team	BITSP	3rd	Closing Government	View Ballot	Prosper Michael AmetuⒸ , ANGAD MATHARU
Crispy dosa	GLCM	4th	Closing Opposition	View Ballot	Prosper Michael AmetuⒸ , ANGAD MATHARU
RVCE C	RVCE	3rd	Opening Government	View Ballot	Shudipto AhmedⒸ , Vikrant PandeyⓉ , Yash PhadkeⓉ
We’re mostly adjes if we don’t brea	—	1st	Opening Opposition	View Ballot	Shudipto AhmedⒸ , Vikrant PandeyⓉ , Yash PhadkeⓉ
Osaka A	OU	2nd	Closing Government	View Ballot	Shudipto AhmedⒸ , Vikrant PandeyⓉ , Yash PhadkeⓉ
Don&#x27;t.	NLSIU	4th	Closing Opposition	View Ballot	Shudipto AhmedⒸ , Vikrant PandeyⓉ , Yash PhadkeⓉ
Grand Theft Auto	GNLU	1st	Opening Government	View Ballot	Jayeesh AroraⒸ , Sunayana MoroⓉ
Break(down)	IPCW	2nd	Opening Opposition	View Ballot	Jayeesh AroraⒸ , Sunayana MoroⓉ
Swing 4	—	3rd	Closing Government	View Ballot	Jayeesh AroraⒸ , Sunayana MoroⓉ
Chicken wings	RCL	4th	Closing Opposition	View Ballot	Jayeesh AroraⒸ , Sunayana MoroⓉ
Paid Churro	UPD	3rd	Opening Government	View Ballot	Abhirup MannaⒸ , ShrutiⓉ , Surabhi SureshⓉ
MiniMorty and Bigger Makmak	DLSU SHS	1st	Opening Opposition	View Ballot	Abhirup MannaⒸ , ShrutiⓉ , Surabhi SureshⓉ
I&#x27;m not asleep my mind is alive	GLCM	4th	Closing Government	View Ballot	Abhirup MannaⒸ , ShrutiⓉ , Surabhi SureshⓉ
Indecisive ambassadors	—	2nd	Closing Opposition	View Ballot	Abhirup MannaⒸ , ShrutiⓉ , Surabhi SureshⓉ
Nehal Yadav	DNLU	4th	Opening Government	View Ballot	Kojo AcheampongⒸ , Aditi SinghalⓉ , Gautam ChauhanⓉ
That&#x27;s Irrelephant	RCL	3rd	Opening Opposition	View Ballot	Kojo AcheampongⒸ , Aditi SinghalⓉ , Gautam ChauhanⓉ
tea&amp;coffee	SXCK	2nd	Closing Government	View Ballot	Kojo AcheampongⒸ , Aditi SinghalⓉ , Gautam ChauhanⓉ
Stanford AS	SU	1st	Closing Opposition	View Ballot	Kojo AcheampongⒸ , Aditi SinghalⓉ , Gautam ChauhanⓉ
Dudh si safedi nirma se aaye	VIT	1st	Closing Opposition	View Ballot	Cici LiuⒸ , Sakshi KasalaⓉ
Anything Goes	GLCM	1st	Opening Government	View Ballot	Rajyawardhan SinghⒸ , Olipriya
Last Minute	RVCE	3rd	Opening Opposition	View Ballot	Rajyawardhan SinghⒸ , Olipriya
Machas	NLIUB	2nd	Closing Government	View Ballot	Rajyawardhan SinghⒸ , Olipriya
The Cockroaches	NLSIU	4th	Closing Opposition	View Ballot	Rajyawardhan SinghⒸ , Olipriya
