team	institution	result	side	ballot	adjudicators
Ateneo de Manila D	Ateneo de Manila	2nd	Closing Opposition	View Ballot	Andrew ChenⒸ , Fernanda Crousillat Rayter
Tokyo KM	Tokyo	4th	Opening Government	View Ballot	Mukhtar TashkenbayevⒸ , Chris , Joel Yayra Aboagye
KNUST B	KNUST	2nd	Opening Opposition	View Ballot	Mukhtar TashkenbayevⒸ , Chris , Joel Yayra Aboagye
Oxford C	Oxford	3rd	Closing Government	View Ballot	Mukhtar TashkenbayevⒸ , Chris , Joel Yayra Aboagye
IT Bandung A	IT Bandung	1st	Closing Opposition	View Ballot	Mukhtar TashkenbayevⒸ , Chris , Joel Yayra Aboagye
FDU 2	FDU	2nd	Opening Government	View Ballot	OGUNDARE TAYE TOBIⒸ , Alexis Baraka Mcharo
Cambridge C	Cambridge	1st	Opening Opposition	View Ballot	OGUNDARE TAYE TOBIⒸ , Alexis Baraka Mcharo
CUHKSZ A	CUHKSZ	4th	Closing Government	View Ballot	OGUNDARE TAYE TOBIⒸ , Alexis Baraka Mcharo
UNC Argentina	UNC	3rd	Closing Opposition	View Ballot	OGUNDARE TAYE TOBIⒸ , Alexis Baraka Mcharo
MUST C	MUST	3rd	Opening Government	View Ballot	Abhishek AcharyaⒸ , Nirali Rout
Manchester Debating A	Manchester Debating	1st	Opening Opposition	View Ballot	Abhishek AcharyaⒸ , Nirali Rout
DAV B	DAV	4th	Closing Government	View Ballot	Abhishek AcharyaⒸ , Nirali Rout
Aberdeen BF	Aberdeen	2nd	Closing Opposition	View Ballot	Abhishek AcharyaⒸ , Nirali Rout
Sydney E	Sydney	3rd	Opening Government	View Ballot	Donald &quot;Brent&quot; SchmidtⒸ , Alex Lovell , Dhruv Hariharan
VUW 1	VUW	1st	Opening Opposition	View Ballot	Donald &quot;Brent&quot; SchmidtⒸ , Alex Lovell , Dhruv Hariharan
IIUM 4	IIUM	4th	Closing Government	View Ballot	Donald &quot;Brent&quot; SchmidtⒸ , Alex Lovell , Dhruv Hariharan
Princeton D	Princeton	2nd	Closing Opposition	View Ballot	Donald &quot;Brent&quot; SchmidtⒸ , Alex Lovell , Dhruv Hariharan
LSE D	LSE	2nd	Opening Government	View Ballot	Craig McDonaldⒸ , Emily Paulin , Ofri Raz
GW A	GW	1st	Opening Opposition	View Ballot	Craig McDonaldⒸ , Emily Paulin , Ofri Raz
Taylor&#x27;s A	Taylor&#x27;s	4th	Closing Government	View Ballot	Craig McDonaldⒸ , Emily Paulin , Ofri Raz
Belgrade Arts A	Belgrade Arts	3rd	Closing Opposition	View Ballot	Craig McDonaldⒸ , Emily Paulin , Ofri Raz
Ateneo de Manila B	Ateneo de Manila	4th	Opening Government	View Ballot	Daniel Maier-GantⒸ , Priyanka Das
UPD A	UPD	3rd	Opening Opposition	View Ballot	Daniel Maier-GantⒸ , Priyanka Das
NUS A	NUS	2nd	Closing Government	View Ballot	Daniel Maier-GantⒸ , Priyanka Das
Sydney C	Sydney	1st	Closing Opposition	View Ballot	Daniel Maier-GantⒸ , Priyanka Das
Zagreb A	Zagreb	3rd	Opening Government	View Ballot	Matthew Conley-EvansⒸ , Soumitra Tonapi
Princeton B	Princeton	1st	Opening Opposition	View Ballot	Matthew Conley-EvansⒸ , Soumitra Tonapi
LSE B	LSE	4th	Closing Government	View Ballot	Matthew Conley-EvansⒸ , Soumitra Tonapi
Christ University A	Christ University	2nd	Closing Opposition	View Ballot	Matthew Conley-EvansⒸ , Soumitra Tonapi
UT MARA D	UT MARA	4th	Opening Government	View Ballot	Josef FlorendoⒸ , Emily McIntyre
Zagreb B	Zagreb	1st	Opening Opposition	View Ballot	Josef FlorendoⒸ , Emily McIntyre
Belgrade E	Belgrade	3rd	Closing Government	View Ballot	Josef FlorendoⒸ , Emily McIntyre
UCSC A	UCSC	2nd	Closing Opposition	View Ballot	Josef FlorendoⒸ , Emily McIntyre
PUCV A	PUCV	3rd	Opening Government	View Ballot	Pranav KagalkarⒸ , Kate Xinyi He , Miloš Prokić
BEsmart A	BEsmart	2nd	Opening Opposition	View Ballot	Pranav KagalkarⒸ , Kate Xinyi He , Miloš Prokić
DLSU A	DLSU	4th	Closing Government	View Ballot	Pranav KagalkarⒸ , Kate Xinyi He , Miloš Prokić
TCD Hist C	TCD Hist	1st	Closing Opposition	View Ballot	Pranav KagalkarⒸ , Kate Xinyi He , Miloš Prokić
UoL 1	UoL	3rd	Opening Government	View Ballot	Kerrin R-SⒸ , Alex Munro , Reymund V. Santander
Utech, JA. B	Utech, JA.	2nd	Opening Opposition	View Ballot	Kerrin R-SⒸ , Alex Munro , Reymund V. Santander
SdDUFC A	SdDUFC	4th	Closing Government	View Ballot	Kerrin R-SⒸ , Alex Munro , Reymund V. Santander
IIUM 1	IIUM	1st	Closing Opposition	View Ballot	Kerrin R-SⒸ , Alex Munro , Reymund V. Santander
TCD Hist B	TCD Hist	2nd	Opening Government	View Ballot	Ruth SilcoffⒸ , Lawrence Nii Kotey Neequaye
Edinburgh B	Edinburgh	3rd	Opening Opposition	View Ballot	Ruth SilcoffⒸ , Lawrence Nii Kotey Neequaye
St. Andrews B	St. Andrews	4th	Closing Government	View Ballot	Ruth SilcoffⒸ , Lawrence Nii Kotey Neequaye
Pentecost A	Pentecost	1st	Closing Opposition	View Ballot	Ruth SilcoffⒸ , Lawrence Nii Kotey Neequaye
HUJI A	HUJI	4th	Opening Government	View Ballot	Tin PuljićⒸ , Angad Singh Chawla , Matt Aydin
Sydney D	Sydney	1st	Opening Opposition	View Ballot	Tin PuljićⒸ , Angad Singh Chawla , Matt Aydin
UNSW A	UNSW	2nd	Closing Government	View Ballot	Tin PuljićⒸ , Angad Singh Chawla , Matt Aydin
Bucharest A	Bucharest	3rd	Closing Opposition	View Ballot	Tin PuljićⒸ , Angad Singh Chawla , Matt Aydin
Malaya 3	Malaya	4th	Opening Government	View Ballot	Mehul JoshiⒸ , Henry Kofi , Siti Aisyah
Chicago DW	Chicago	1st	Opening Opposition	View Ballot	Mehul JoshiⒸ , Henry Kofi , Siti Aisyah
NTU A	NTU	3rd	Closing Government	View Ballot	Mehul JoshiⒸ , Henry Kofi , Siti Aisyah
Oxford D	Oxford	2nd	Closing Opposition	View Ballot	Mehul JoshiⒸ , Henry Kofi , Siti Aisyah
UCL PP	UCL	3rd	Opening Government	View Ballot	Hadar &quot;spoke about the rules&quot; GoldbergⒸ , Alberto Nakakogue Neto , Shaquille Scott Davis
UPD b	UPD	1st	Opening Opposition	View Ballot	Hadar &quot;spoke about the rules&quot; GoldbergⒸ , Alberto Nakakogue Neto , Shaquille Scott Davis
Alberta A	Alberta	4th	Closing Government	View Ballot	Hadar &quot;spoke about the rules&quot; GoldbergⒸ , Alberto Nakakogue Neto , Shaquille Scott Davis
Oxford B	Oxford	2nd	Closing Opposition	View Ballot	Hadar &quot;spoke about the rules&quot; GoldbergⒸ , Alberto Nakakogue Neto , Shaquille Scott Davis
Monash B	Monash	2nd	Opening Government	View Ballot	NJUGUNA MACHARIAⒸ , David Mencias , Prashasti Saxena
TCD Phil A	TCD Phil	1st	Opening Opposition	View Ballot	NJUGUNA MACHARIAⒸ , David Mencias , Prashasti Saxena
Harvard QR	Harvard	4th	Closing Government	View Ballot	NJUGUNA MACHARIAⒸ , David Mencias , Prashasti Saxena
Hart House A	Hart House	3rd	Closing Opposition	View Ballot	NJUGUNA MACHARIAⒸ , David Mencias , Prashasti Saxena
Surabaya A	Surabaya	4th	Opening Government	View Ballot	Joel LawⒸ , Benjamin Donkor-Boafo , Gazi Mahtab
IIT Bombay MH	IIT Bombay	2nd	Opening Opposition	View Ballot	Joel LawⒸ , Benjamin Donkor-Boafo , Gazi Mahtab
Ghana A	Ghana	3rd	Closing Government	View Ballot	Joel LawⒸ , Benjamin Donkor-Boafo , Gazi Mahtab
GLC Mumbai MM	GLC Mumbai	1st	Closing Opposition	View Ballot	Joel LawⒸ , Benjamin Donkor-Boafo , Gazi Mahtab
West Georgia A	West Georgia	3rd	Opening Government	View Ballot	Ralph LeeⒸ , Ellen McKimm , Hafsa Khurram
BRAC C	BRAC	1st	Opening Opposition	View Ballot	Ralph LeeⒸ , Ellen McKimm , Hafsa Khurram
UENR B	UENR	4th	Closing Government	View Ballot	Ralph LeeⒸ , Ellen McKimm , Hafsa Khurram
PKU C	PKU	2nd	Closing Opposition	View Ballot	Ralph LeeⒸ , Ellen McKimm , Hafsa Khurram
Technion B	Technion	4th	Opening Government	View Ballot	Tamkeen NawabⒸ , Gao Junze
Sciences Po B	Sciences Po	1st	Opening Opposition	View Ballot	Tamkeen NawabⒸ , Gao Junze
UPLB D	UPLB	3rd	Closing Government	View Ballot	Tamkeen NawabⒸ , Gao Junze
USFQ DS	USFQ	2nd	Closing Opposition	View Ballot	Tamkeen NawabⒸ , Gao Junze
Sunway CE	Sunway	4th	Opening Government	View Ballot	Chinmaya MohanⒸ , Esther Olamide Olayinka , Sandra Barriós
SMU EA	SMU	2nd	Opening Opposition	View Ballot	Chinmaya MohanⒸ , Esther Olamide Olayinka , Sandra Barriós
Chula A	Chula	1st	Closing Government	View Ballot	Chinmaya MohanⒸ , Esther Olamide Olayinka , Sandra Barriós
RUDF A	RUDF	3rd	Closing Opposition	View Ballot	Chinmaya MohanⒸ , Esther Olamide Olayinka , Sandra Barriós
Sunway JR	Sunway	3rd	Opening Government	View Ballot	Geneva RoyⒸ , Shikhar Raj Beri
Chicago NK	Chicago	4th	Opening Opposition	View Ballot	Geneva RoyⒸ , Shikhar Raj Beri
Harvard HM	Harvard	2nd	Closing Government	View Ballot	Geneva RoyⒸ , Shikhar Raj Beri
Ateneo de Manila C	Ateneo de Manila	1st	Closing Opposition	View Ballot	Geneva RoyⒸ , Shikhar Raj Beri
DCAC A	DCAC	2nd	Opening Government	View Ballot	Diego DuarteⒸ , Claire Florendo , Conor Dolan
TCD Phil B	TCD Phil	4th	Opening Opposition	View Ballot	Diego DuarteⒸ , Claire Florendo , Conor Dolan
IBA DU B	IBA DU	3rd	Closing Government	View Ballot	Diego DuarteⒸ , Claire Florendo , Conor Dolan
IIUM 3	IIUM	1st	Closing Opposition	View Ballot	Diego DuarteⒸ , Claire Florendo , Conor Dolan
Swing 1	—	3rd	Opening Government	View Ballot	Ethan CurryⒸ , Irina Radosavljević
QDU B	QDU	4th	Opening Opposition	View Ballot	Ethan CurryⒸ , Irina Radosavljević
Tel Aviv b	Tel Aviv	1st	Closing Government	View Ballot	Ethan CurryⒸ , Irina Radosavljević
Berlin A	Berlin	2nd	Closing Opposition	View Ballot	Ethan CurryⒸ , Irina Radosavljević
Harvard HT	Harvard	3rd	Opening Government	View Ballot	Harish NatarajanⒸ , Gaveal Fan , Srijan Poudel
UPLB B	UPLB	4th	Opening Opposition	View Ballot	Harish NatarajanⒸ , Gaveal Fan , Srijan Poudel
Princeton C	Princeton	2nd	Closing Government	View Ballot	Harish NatarajanⒸ , Gaveal Fan , Srijan Poudel
McGill A	McGill	1st	Closing Opposition	View Ballot	Harish NatarajanⒸ , Gaveal Fan , Srijan Poudel
Chicago BP	Chicago	2nd	Opening Government	View Ballot	Ameera Natasha MooreⒸ , Daisy Yan Sun , Valerie Pang
Belgrade D	Belgrade	4th	Opening Opposition	View Ballot	Ameera Natasha MooreⒸ , Daisy Yan Sun , Valerie Pang
ANU B	ANU	1st	Closing Government	View Ballot	Ameera Natasha MooreⒸ , Daisy Yan Sun , Valerie Pang
Rosario B	Rosario	3rd	Closing Opposition	View Ballot	Ameera Natasha MooreⒸ , Daisy Yan Sun , Valerie Pang
Tel Aviv C	Tel Aviv	1st	Opening Government	View Ballot	William SmithⒸ , Joy Awulika Hadome , TwinkleⓉ
Ghana C	Ghana	3rd	Opening Opposition	View Ballot	William SmithⒸ , Joy Awulika Hadome , TwinkleⓉ
HUJI C	HUJI	2nd	Closing Government	View Ballot	William SmithⒸ , Joy Awulika Hadome , TwinkleⓉ
Korea A	Korea	4th	Closing Opposition	View Ballot	William SmithⒸ , Joy Awulika Hadome , TwinkleⓉ
DLSU C	DLSU	4th	Opening Government	View Ballot	Emma WalkerⒸ , Dongbin (DB) Lee , Kazi Tanha AnnoorⓉ
Korea C	Korea	1st	Opening Opposition	View Ballot	Emma WalkerⒸ , Dongbin (DB) Lee , Kazi Tanha AnnoorⓉ
Rosario A	Rosario	3rd	Closing Government	View Ballot	Emma WalkerⒸ , Dongbin (DB) Lee , Kazi Tanha AnnoorⓉ
QU B	QU	2nd	Closing Opposition	View Ballot	Emma WalkerⒸ , Dongbin (DB) Lee , Kazi Tanha AnnoorⓉ
Vanderbilt MW	Vanderbilt	3rd	Opening Government	View Ballot	Anna ShrederⒸ , Chris Braithwaite
DLSU B	DLSU	2nd	Opening Opposition	View Ballot	Anna ShrederⒸ , Chris Braithwaite
Monash C	Monash	4th	Closing Government	View Ballot	Anna ShrederⒸ , Chris Braithwaite
IGNOU Saidha &amp; Mishra	IGNOU	1st	Closing Opposition	View Ballot	Anna ShrederⒸ , Chris Braithwaite
UWODS B	UWODS	4th	Opening Government	View Ballot	Yarn &quot;super coach&quot; ShihⒸ , Leauren Shiyuan Ji , Micheal Zhang
OBS Kwame Nkrumah B	OBS Kwame Nkrumah	2nd	Opening Opposition	View Ballot	Yarn &quot;super coach&quot; ShihⒸ , Leauren Shiyuan Ji , Micheal Zhang
ANU C	ANU	3rd	Closing Government	View Ballot	Yarn &quot;super coach&quot; ShihⒸ , Leauren Shiyuan Ji , Micheal Zhang
PUCP A	PUCP	1st	Closing Opposition	View Ballot	Yarn &quot;super coach&quot; ShihⒸ , Leauren Shiyuan Ji , Micheal Zhang
PKU A	PKU	1st	Opening Government	View Ballot	Tawfique ElahiⒸ , Lindsey Bonsu , Nikola Singband , Mu&#x27;adz BahariⓉ
CU A	CU	2nd	Opening Opposition	View Ballot	Tawfique ElahiⒸ , Lindsey Bonsu , Nikola Singband , Mu&#x27;adz BahariⓉ
Reichman B	Reichman	3rd	Closing Government	View Ballot	Tawfique ElahiⒸ , Lindsey Bonsu , Nikola Singband , Mu&#x27;adz BahariⓉ
SUFE 2	SUFE	4th	Closing Opposition	View Ballot	Tawfique ElahiⒸ , Lindsey Bonsu , Nikola Singband , Mu&#x27;adz BahariⓉ
KNUST SB	KNUST	4th	Opening Government	View Ballot	Sowmya SrinivasanⒸ , Collins Chinonso , Miza E Shafa Binti Rizwan Ahmad
Durham C	Durham	1st	Opening Opposition	View Ballot	Sowmya SrinivasanⒸ , Collins Chinonso , Miza E Shafa Binti Rizwan Ahmad
DTU AK	DTU	2nd	Closing Government	View Ballot	Sowmya SrinivasanⒸ , Collins Chinonso , Miza E Shafa Binti Rizwan Ahmad
ZISU A	ZISU	3rd	Closing Opposition	View Ballot	Sowmya SrinivasanⒸ , Collins Chinonso , Miza E Shafa Binti Rizwan Ahmad
GUQ A	GUQ	1st	Opening Government	View Ballot	Tommy KohⒸ , Gayatri Somaiya , Luca Lombardo
UTP UTP	UTP	3rd	Opening Opposition	View Ballot	Tommy KohⒸ , Gayatri Somaiya , Luca Lombardo
Chittagong Medical Ä	Chittagong Medical	2nd	Closing Government	View Ballot	Tommy KohⒸ , Gayatri Somaiya , Luca Lombardo
Teknokrat A	Teknokrat	4th	Closing Opposition	View Ballot	Tommy KohⒸ , Gayatri Somaiya , Luca Lombardo
UPT A	UPT	2nd	Opening Government	View Ballot	Odong VincentⒸ , Annisa Batrisyia , Michael Moran , Richelle LiuⓉ
DU A	DU	1st	Opening Opposition	View Ballot	Odong VincentⒸ , Annisa Batrisyia , Michael Moran , Richelle LiuⓉ
Utech, JA. C	Utech, JA.	3rd	Closing Government	View Ballot	Odong VincentⒸ , Annisa Batrisyia , Michael Moran , Richelle LiuⓉ
PUDS Legacy	PUDS	4th	Closing Opposition	View Ballot	Odong VincentⒸ , Annisa Batrisyia , Michael Moran , Richelle LiuⓉ
IHU Peace and Ezeri	IHU	2nd	Opening Government	View Ballot	Raffy PerezⒸ , Fredrick Ni
JHU AL	JHU	1st	Opening Opposition	View Ballot	Raffy PerezⒸ , Fredrick Ni
IITK IITK	IITK	4th	Closing Government	View Ballot	Raffy PerezⒸ , Fredrick Ni
FUV A	FUV	3rd	Closing Opposition	View Ballot	Raffy PerezⒸ , Fredrick Ni
Otago A	Otago	1st	Opening Government	View Ballot	Aisha O&#x27;MalleyⒸ , Carmel Kenneth , Gao XiaoYu
UGM A	UGM	3rd	Opening Opposition	View Ballot	Aisha O&#x27;MalleyⒸ , Carmel Kenneth , Gao XiaoYu
NLUO A	NLUO	2nd	Closing Government	View Ballot	Aisha O&#x27;MalleyⒸ , Carmel Kenneth , Gao XiaoYu
Unilorin B	Unilorin	4th	Closing Opposition	View Ballot	Aisha O&#x27;MalleyⒸ , Carmel Kenneth , Gao XiaoYu
Zagreb F	Zagreb	3rd	Opening Government	View Ballot	Brendon ChenⒸ , Sudiksha Aggarwal , Hazreel HaqimⓉ
Waseda A	Waseda	1st	Opening Opposition	View Ballot	Brendon ChenⒸ , Sudiksha Aggarwal , Hazreel HaqimⓉ
SLS B	SLS	4th	Closing Government	View Ballot	Brendon ChenⒸ , Sudiksha Aggarwal , Hazreel HaqimⓉ
BFSU UFO	BFSU	2nd	Closing Opposition	View Ballot	Brendon ChenⒸ , Sudiksha Aggarwal , Hazreel HaqimⓉ
UWODS A	UWODS	1st	Opening Government	View Ballot	Lucie SlamovaⒸ , Aaron Wang
Osaka A	Osaka	2nd	Opening Opposition	View Ballot	Lucie SlamovaⒸ , Aaron Wang
UWA A	UWA	3rd	Closing Government	View Ballot	Lucie SlamovaⒸ , Aaron Wang
Monash A	Monash	4th	Closing Opposition	View Ballot	Lucie SlamovaⒸ , Aaron Wang
Zagreb C	Zagreb	1st	Opening Government	View Ballot	Ilija &quot;owe $ pay $&quot; IvaniševićⒸ , Comfort Ayelomi , Rushdoon Ahmed
UNWE A	UNWE	2nd	Opening Opposition	View Ballot	Ilija &quot;owe $ pay $&quot; IvaniševićⒸ , Comfort Ayelomi , Rushdoon Ahmed
Oxford A	Oxford	3rd	Closing Government	View Ballot	Ilija &quot;owe $ pay $&quot; IvaniševićⒸ , Comfort Ayelomi , Rushdoon Ahmed
ANU A	ANU	4th	Closing Opposition	View Ballot	Ilija &quot;owe $ pay $&quot; IvaniševićⒸ , Comfort Ayelomi , Rushdoon Ahmed
TCD Phil C	TCD Phil	3rd	Opening Government	View Ballot	Marina KojićⒸ , Adya Sharma , Harry Wu
UENR A	UENR	1st	Opening Opposition	View Ballot	Marina KojićⒸ , Adya Sharma , Harry Wu
Ghana B	Ghana	4th	Closing Government	View Ballot	Marina KojićⒸ , Adya Sharma , Harry Wu
Sciences Po A	Sciences Po	2nd	Closing Opposition	View Ballot	Marina KojićⒸ , Adya Sharma , Harry Wu
DRC A	DRC	4th	Opening Government	View Ballot	Juanita &quot;where is the draw?&quot; Hincapié RestrepoⒸ , Jamie Salem Dalgety , Marko Vasilijević
Cornell C	Cornell	2nd	Opening Opposition	View Ballot	Juanita &quot;where is the draw?&quot; Hincapié RestrepoⒸ , Jamie Salem Dalgety , Marko Vasilijević
Nanjing XZ	Nanjing	3rd	Closing Government	View Ballot	Juanita &quot;where is the draw?&quot; Hincapié RestrepoⒸ , Jamie Salem Dalgety , Marko Vasilijević
