Rk	team	categories	R1	R2	R3	R4	R5	R6	R7	R8	R9	Pts	Spk	1sts	2nds	Irons	3rds
115	LSE C		1st	4th	3rd	1st	2nd	2nd	4th	4th	3rd	12	1401	2	2	0	2
116	Warsaw MG	ESL	2nd	2nd	4th	2nd	3rd	2nd	1st	4th	4th	12	1375	1	4	0	1
117	Aberdeen WB		1st	4th	1st	4th	1st	4th	3rd	2nd	4th	12	1367	3	1	0	1
118	EDS B		1st	4th	1st	3rd	4th	1st	4th	2nd	4th	12	1365	3	1	0	1
119	St Andrews D	ESL	4th	1st	2nd	4th	1st	4th	3rd	1st	4th	12	1364	3	1	0	1
120	UCD L&amp;H C		3rd	3rd	3rd	1st	1st	4th	1st	4th	4th	12	1359	3	0	0	3
121	Belgrade E	ESL	3rd	1st	4th	2nd	4th	4th	2nd	2nd	2nd	12	1359	1	4	0	1
122	Berlin C	ESL	4th	4th	2nd	2nd	1st	3rd	3rd	3rd	2nd	12	1354	1	3	0	3
123	Zagreb E	ESL	4th	3rd	2nd	3rd	1st	2nd	4th	2nd	3rd	12	1350	1	3	0	3
124	Technion C	ESL	3rd	2nd	2nd	1st	3rd	4th	3rd	4th	2nd	12	1349	1	3	0	3
125=	Copenhagen C	ESL	1st	4th	3rd	3rd	3rd	3rd	2nd	2nd	3rd	12	1349	1	2	0	5
125=	Exeter B		3rd	1st	4th	2nd	2nd	3rd	3rd	3rd	3rd	12	1349	1	2	0	5
127	Amsterdam EE		3rd	4th	4th	2nd	3rd	3rd	2nd	1st	2nd	12	1345	1	3	1	3
128	LSE MD		3rd	3rd	3rd	2nd	3rd	3rd	3rd	3rd	1st	12	1341	1	1	0	7
129	BGU D	ESL	3rd	4th	4th	1st	3rd	2nd	2nd	2nd	3rd	12	1336	1	3	0	3
130	Cardiff B		4th	4th	1st	2nd	3rd	1st	4th	4th	1st	12	1333	3	1	0	1
131	Cicero DG	ESL	2nd	4th	3rd	4th	3rd	1st	2nd	4th	1st	12	1321	2	2	0	2
132	GUU C		4th	2nd	1st	3rd	3rd	3rd	2nd	4th	3rd	11	1381	1	2	0	4
133	HUJI IS		1st	4th	4th	3rd	1st	3rd	3rd	4th	2nd	11	1361	2	1	0	3
134	UCD L&amp;H D		2nd	4th	1st	1st	3rd	3rd	4th	4th	3rd	11	1357	2	1	0	3
135	Tartu B	ESL	1st	3rd	3rd	3rd	3rd	4th	3rd	1st	4th	11	1356	2	0	0	5
136	TCD Hist EK		3rd	3rd	3rd	2nd	2nd	3rd	2nd	3rd	4th	11	1349	0	3	0	5
137	Leiden RH		2nd	4th	3rd	2nd	4th	4th	2nd	3rd	1st	11	1346	1	3	0	2
138	NTUA A	ESL	2nd	2nd	3rd	4th	4th	2nd	4th	3rd	1st	11	1345	1	3	0	2
139	Warsaw PW	ESL	1st	3rd	4th	4th	1st	3rd	4th	3rd	2nd	11	1341	2	1	0	3
140	Imperial C		3rd	1st	1st	4th	2nd	3rd	4th	4th	3rd	11	1337	2	1	0	3
141	Koç A	ESL	2nd	4th	4th	2nd	3rd	1st	1st	4th	4th	11	1334	2	2	0	1
142	Tel Aviv B	ESL	3rd	4th	3rd	3rd	2nd	2nd	3rd	1st	4th	11	1334	1	2	0	4
143	Bar-Ilan LH	ESL	4th	3rd	3rd	1st	3rd	4th	1st	2nd	4th	11	1333	2	1	0	3
144	ACG A	ESL	3rd	4th	3rd	2nd	4th	2nd	2nd	4th	1st	11	1322	1	3	0	2
145	Weizmann C	ESL	4th	4th	1st	1st	4th	3rd	4th	2nd	2nd	11	1317	2	2	0	1
146	BGU C	ESL	3rd	3rd	2nd	3rd	4th	1st	2nd	4th	3rd	11	1315	1	2	0	4
147	TUD A		2nd	4th	2nd	4th	3rd	2nd	4th	3rd	1st	11	1307	1	3	0	2
148	UCD LawSoc A		2nd	1st	2nd	4th	4th	4th	4th	1st	4th	10	1370	2	2	0	0
149	Warsaw MI	ESL	3rd	1st	4th	3rd	4th	1st	4th	4th	2nd	10	1356	2	1	0	2
150	Reichman C	ESL	2nd	4th	4th	1st	3rd	4th	1st	4th	3rd	10	1349	2	1	0	2
151	Stuttgart A	ESL	2nd	2nd	4th	2nd	4th	3rd	4th	1st	4th	10	1349	1	3	0	1
152	OUI TI	ESL	1st	3rd	2nd	4th	3rd	4th	3rd	3rd	3rd	10	1349	1	1	0	5
153	Heidelberg A	ESL	4th	3rd	1st	3rd	2nd	3rd	4th	2nd	4th	10	1331	1	2	0	3
154	Reichman D	ESL	2nd	3rd	4th	3rd	2nd	2nd	4th	4th	2nd	10	1331	0	4	0	2
155	NU F	ESL	4th	2nd	4th	4th	2nd	1st	2nd	3rd	4th	10	1329	1	3	0	1
156=	OUI DL	ESL	4th	3rd	1st	4th	2nd	2nd	3rd	3rd	4th	10	1317	1	2	0	3
156=	Porto A	ESL	4th	4th	3rd	4th	1st	3rd	2nd	3rd	2nd	10	1317	1	2	0	3
158	Sheffield SJ		3rd	2nd	3rd	4th	3rd	4th	2nd	2nd	3rd	10	1309	0	3	0	4
159	AUEB B	ESL	4th	3rd	3rd	4th	3rd	4th	3rd	1st	1st	10	1295	2	0	0	4
160	Liverpool C		4th	2nd	4th	3rd	4th	3rd	2nd	1st	3rd	10	1287	1	2	0	3
161	COLMAN OA	ESL	4th	3rd	2nd	—	1st	2nd	4th	4th	2nd	10	1182	1	3	0	1
162	Copenhagen B		3rd	4th	3rd	1st	—	1st	3rd	3rd	—	10	1046	2	0	5	4
163	Utrecht B	ESL	4th	3rd	2nd	4th	2nd	2nd	3rd	4th	3rd	9	1357	0	3	2	3
164	UEA A		2nd	3rd	3rd	4th	4th	2nd	3rd	2nd	4th	9	1343	0	3	0	3
165	HUJI IY	ESL	4th	4th	2nd	1st	4th	3rd	4th	2nd	3rd	9	1337	1	2	0	2
166	TUT B	ESL	4th	2nd	3rd	4th	4th	3rd	3rd	1st	3rd	9	1329	1	1	0	4
167	Reichman B		3rd	4th	1st	4th	3rd	4th	1st	3rd	4th	9	1324	2	0	0	3
168	Reichman A	ESL	3rd	4th	4th	1st	2nd	4th	4th	4th	1st	9	1320	2	1	0	1
169	MCC PM	ESL	4th	4th	1st	3rd	4th	3rd	4th	2nd	2nd	9	1308	1	2	0	2
170	AUEB A	ESL	3rd	4th	4th	2nd	2nd	4th	3rd	4th	1st	9	1304	1	2	0	2
171	Haifa D		4th	3rd	2nd	4th	4th	1st	3rd	2nd	4th	9	1291	1	2	1	2
172	UEA B		3rd	3rd	4th	4th	3rd	2nd	1st	4th	4th	8	1316	1	1	0	3
173	Karlsruhe A	ESL	3rd	4th	2nd	3rd	2nd	4th	3rd	4th	3rd	8	1311	0	2	0	4
174	Bar-Ilan ZT		3rd	3rd	4th	3rd	3rd	4th	4th	2nd	2nd	8	1295	0	2	0	4
175	Liverpool B		4th	4th	4th	4th	3rd	2nd	2nd	1st	4th	8	1286	1	2	1	1
176	ACG B	ESL	4th	4th	3rd	3rd	4th	1st	3rd	2nd	4th	8	1269	1	1	0	3
177	Stockholm AS	ESL	4th	4th	4th	3rd	1st	4th	3rd	3rd	2nd	8	1264	1	1	0	3
178	Boğaziçi A	ESL	4th	4th	2nd	4th	2nd	4th	1st	4th	3rd	8	1244	1	2	0	1
179	Haifa C	ESL	3rd	3rd	3rd	4th	1st	4th	4th	4th	3rd	7	1313	1	0	0	4
180	RRIS B		3rd	3rd	3rd	3rd	4th	2nd	4th	3rd	4th	7	1290	0	1	0	5
181	Haifa B	ESL	4th	3rd	4th	3rd	1st	3rd	4th	3rd	4th	7	1278	1	0	0	4
182	Swing A		—	—	—	1st	4th	—	—	—	1st	6	450	2	0	0	0
183	Leiden MS		4th	4th	4th	2nd	4th	3rd	4th	3rd	4th	4	1276	0	1	0	2
184	Liverpool A		4th	4th	3rd	4th	2nd	4th	4th	4th	3rd	4	1261	0	1	0	2
185	MCC LW	ESL	4th	3rd	4th	4th	4th	4th	1st	4th	4th	4	1258	1	0	0	1
