Rk	team	categories	R1	R2	R3	R4	R5	R6	R7	R8	R9	Pts	Spk	1sts	2nds	3rds	Irons
39	BDU A	ESL	1st	3rd	2nd	3rd	2nd	3rd	1st	1st	3rd	17	1415	3	2	4	0
40	Yale A		1st	4th	3rd	1st	2nd	2nd	2nd	2nd	2nd	17	1414	2	5	1	0
41	IIUM A	ESL	1st	3rd	3rd	1st	1st	2nd	3rd	4th	1st	17	1397	4	1	3	0
42	PDP E		1st	2nd	1st	2nd	4th	2nd	1st	3rd	4th	16	1455	3	3	1	0
43	UCLA A		1st	2nd	3rd	3rd	2nd	2nd	1st	4th	2nd	16	1453	2	4	2	0
44	PDP A		1st	2nd	2nd	2nd	4th	3rd	1st	1st	4th	16	1444	3	3	1	0
45	HHDC A		1st	4th	1st	4th	1st	2nd	1st	4th	2nd	16	1437	4	2	0	0
46	Stanford D		2nd	1st	4th	1st	2nd	3rd	1st	3rd	3rd	16	1431	3	2	3	0
47	Harvard B		1st	4th	2nd	1st	4th	1st	3rd	3rd	1st	16	1429	4	1	2	0
48	Stanford B		2nd	1st	3rd	3rd	3rd	1st	2nd	2nd	3rd	16	1425	2	3	4	0
49	PUCP CG	ESL, EFL	1st	2nd	3rd	4th	1st	2nd	4th	2nd	1st	16	1416	3	3	1	0
50	Yale C		2nd	2nd	4th	3rd	1st	1st	4th	1st	2nd	16	1409	3	3	1	0
51=	CUS B		2nd	4th	1st	3rd	1st	4th	2nd	1st	2nd	16	1407	3	3	1	0
51=	DSB B		2nd	2nd	4th	1st	3rd	1st	4th	1st	2nd	16	1407	3	3	1	0
53	Harvard C		2nd	3rd	3rd	2nd	1st	4th	1st	1st	3rd	16	1407	3	2	3	0
54	PDP B		2nd	2nd	2nd	2nd	3rd	3rd	1st	4th	1st	16	1406	2	4	2	0
55	UChicago C		3rd	1st	3rd	2nd	3rd	2nd	2nd	3rd	1st	16	1395	2	3	4	0
56	UBC A		4th	2nd	2nd	2nd	1st	3rd	2nd	3rd	1st	16	1390	2	4	2	0
57	Stanford E		2nd	3rd	1st	2nd	3rd	3rd	4th	1st	1st	16	1388	3	2	3	0
58	UPD A		2nd	1st	2nd	3rd	1st	1st	4th	3rd	4th	15	1442	3	2	2	0
59	BGU A	ESL	2nd	2nd	1st	2nd	2nd	4th	4th	1st	3rd	15	1431	2	4	1	0
60	Stanford F		1st	1st	3rd	3rd	2nd	2nd	4th	1st	4th	15	1429	3	2	2	0
61	CUS A		1st	1st	3rd	4th	2nd	1st	3rd	3rd	3rd	15	1423	3	1	4	0
62	UM A	ESL	2nd	1st	2nd	4th	1st	4th	3rd	2nd	2nd	15	1418	2	4	1	0
63	DDUL A	ESL	1st	2nd	3rd	2nd	3rd	1st	2nd	3rd	4th	15	1418	2	3	3	0
64	Cornell A		1st	4th	1st	4th	1st	4th	3rd	2nd	1st	15	1417	4	1	1	0
65	Stanford C		1st	2nd	1st	3rd	3rd	1st	4th	2nd	4th	15	1414	3	2	2	0
66	Auckland A		1st	1st	4th	4th	4th	2nd	1st	2nd	2nd	15	1412	3	3	0	0
67	UCL C		3rd	1st	3rd	3rd	4th	1st	2nd	2nd	2nd	15	1412	2	3	3	0
68	TCD Hist A		2nd	2nd	3rd	1st	2nd	3rd	3rd	4th	1st	15	1406	2	3	3	0
69	Brown BDU A		2nd	3rd	2nd	1st	1st	4th	2nd	3rd	3rd	15	1401	2	3	3	0
70	PDP F		1st	4th	2nd	2nd	2nd	2nd	3rd	3rd	2nd	15	1401	1	5	2	0
71	BFSU A	ESL, EFL	4th	2nd	1st	2nd	1st	4th	2nd	3rd	2nd	15	1395	2	4	1	0
72	Yale E		3rd	2nd	1st	3rd	2nd	4th	2nd	1st	3rd	15	1395	2	3	3	0
73	Claremont A		2nd	2nd	4th	1st	1st	3rd	4th	3rd	1st	15	1394	3	2	2	0
74	Columbia B		2nd	1st	4th	2nd	4th	4th	2nd	1st	1st	15	1392	3	3	0	0
75	Yale D		3rd	1st	2nd	3rd	4th	2nd	1st	4th	1st	15	1388	3	2	2	0
76	UChicago D		2nd	4th	2nd	1st	4th	3rd	2nd	1st	2nd	15	1387	2	4	1	3
77	UCLA B		3rd	2nd	2nd	2nd	1st	4th	1st	3rd	3rd	15	1385	2	3	3	0
78	Brown BDU B		4th	3rd	1st	1st	4th	1st	3rd	3rd	1st	15	1383	4	0	3	0
79	IITB A	ESL	3rd	3rd	3rd	3rd	1st	3rd	2nd	1st	2nd	15	1381	2	2	5	0
80	TEC CEM M	ESL, EFL	3rd	2nd	2nd	4th	3rd	2nd	1st	1st	3rd	15	1380	2	3	3	0
81	Yale B		3rd	3rd	1st	4th	2nd	2nd	4th	1st	1st	15	1373	3	2	2	0
82	Harvard D		3rd	1st	2nd	1st	4th	1st	3rd	4th	3rd	14	1429	3	1	3	0
83	Waterloo A		2nd	3rd	3rd	2nd	3rd	4th	1st	2nd	2nd	14	1406	1	4	3	0
84	MAD A		4th	1st	2nd	1st	4th	3rd	1st	2nd	4th	14	1399	3	2	1	1
85	EDS A		3rd	3rd	2nd	2nd	2nd	1st	2nd	4th	3rd	14	1397	1	4	3	0
86	PDP C		1st	4th	1st	2nd	3rd	4th	1st	4th	2nd	14	1393	3	2	1	0
87	BU A		4th	4th	1st	1st	3rd	3rd	1st	4th	1st	14	1392	4	0	2	0
88	CUS C		2nd	3rd	1st	4th	1st	4th	1st	2nd	4th	14	1392	3	2	1	0
89	Cornell C		1st	3rd	4th	2nd	3rd	1st	4th	2nd	2nd	14	1392	2	3	2	0
90	UWODS A		3rd	1st	3rd	3rd	3rd	1st	2nd	4th	2nd	14	1391	2	2	4	0
91	HHDC B		3rd	1st	3rd	3rd	3rd	1st	3rd	4th	1st	14	1387	3	0	5	0
92	IGNOU A	ESL	3rd	2nd	3rd	1st	3rd	2nd	4th	2nd	2nd	14	1386	1	4	3	0
93	Bard A		1st	3rd	3rd	1st	4th	4th	2nd	1st	3rd	14	1385	3	1	3	0
94	Waterloo C		1st	2nd	4th	2nd	2nd	1st	4th	2nd	4th	14	1382	2	4	0	0
95	HHDC C		2nd	2nd	4th	3rd	2nd	2nd	4th	1st	2nd	14	1382	1	5	1	0
96	JHU A		3rd	3rd	1st	1st	3rd	4th	2nd	4th	1st	14	1378	3	1	3	0
97	Duke A		3rd	4th	2nd	4th	1st	3rd	1st	3rd	1st	14	1373	3	1	3	0
98	Williams A		2nd	2nd	1st	4th	4th	3rd	1st	2nd	3rd	14	1373	2	3	2	0
99	CUDS A		3rd	3rd	3rd	2nd	4th	1st	1st	4th	1st	14	1368	3	1	3	0
100	Waterloo B		4th	4th	1st	1st	1st	3rd	3rd	1st	4th	14	1365	4	0	2	0
101	Williams B		2nd	3rd	3rd	4th	1st	1st	2nd	2nd	4th	14	1364	2	3	2	0
102	QDU C		4th	2nd	2nd	3rd	3rd	1st	2nd	3rd	2nd	14	1346	1	4	3	0
103	UPC A		3rd	4th	2nd	3rd	3rd	2nd	1st	1st	3rd	14	1318	2	2	4	0
104	MSUDG B	ESL	—	—	—	2nd	1st	1st	3rd	2nd	1st	14	917	3	2	1	0
105	Bates B		3rd	2nd	1st	3rd	2nd	1st	4th	3rd	4th	13	1407	2	2	3	0
106	TCD Phil B		1st	3rd	2nd	4th	3rd	3rd	1st	3rd	3rd	13	1397	2	1	5	0
107	ADS Silver		1st	4th	1st	2nd	2nd	1st	4th	4th	4th	13	1396	3	2	0	0
108	Cornell B		1st	3rd	1st	4th	4th	3rd	3rd	2nd	2nd	13	1395	2	2	3	0
109	HHDC E		2nd	4th	1st	2nd	4th	1st	3rd	4th	2nd	13	1388	2	3	1	0
110=	McGill A		1st	3rd	3rd	1st	4th	2nd	2nd	4th	3rd	13	1388	2	2	3	0
110=	Stanford G		2nd	3rd	3rd	1st	4th	2nd	3rd	1st	4th	13	1388	2	2	3	0
112	ADS Purple		2nd	1st	4th	4th	2nd	2nd	4th	3rd	1st	13	1385	2	3	1	0
113	Tokyo B	ESL	4th	3rd	1st	2nd	2nd	2nd	3rd	3rd	3rd	13	1380	1	3	4	0
114	Wisconsin A		3rd	2nd	2nd	4th	1st	2nd	1st	4th	4th	13	1379	2	3	1	0
115	UCL B		1st	4th	2nd	4th	3rd	1st	3rd	2nd	3rd	13	1379	2	2	3	0
116	UM B	ESL	2nd	2nd	4th	2nd	4th	3rd	1st	3rd	2nd	13	1379	1	4	2	0
117	UPenn D		1st	4th	4th	1st	3rd	2nd	3rd	2nd	3rd	13	1374	2	2	3	0
118	CUS D		2nd	4th	4th	2nd	1st	2nd	1st	4th	3rd	13	1373	2	3	1	0
119	HWS B		3rd	3rd	4th	1st	2nd	4th	2nd	1st	3rd	13	1373	2	2	3	0
120	Dartmouth B		2nd	3rd	2nd	3rd	3rd	3rd	2nd	1st	4th	13	1372	1	3	4	0
121	BDS A	ESL	4th	4th	2nd	1st	3rd	4th	3rd	1st	1st	13	1369	3	1	2	0
122	Vanderbilt A		4th	1st	2nd	3rd	2nd	3rd	2nd	2nd	4th	13	1369	1	4	2	0
123	UWODS B		1st	3rd	4th	2nd	2nd	4th	3rd	1st	3rd	13	1366	2	2	3	0
124	Brown BDU C		4th	1st	4th	2nd	4th	1st	2nd	4th	1st	13	1364	3	2	0	0
125	UCL A		4th	3rd	1st	1st	4th	1st	4th	4th	1st	13	1361	4	0	1	0
126	HHDC D		3rd	2nd	4th	2nd	2nd	1st	4th	4th	1st	13	1360	2	3	1	0
127	BINUS A	ESL, EFL	4th	2nd	3rd	1st	1st	2nd	4th	2nd	4th	13	1356	2	3	1	0
128	Rosario D	ESL, EFL	3rd	2nd	4th	2nd	4th	4th	1st	1st	2nd	13	1347	2	3	1	0
129	MSUDG A	ESL	—	3rd	3rd	2nd	3rd	2nd	2nd	2nd	2nd	13	1201	0	5	3	0
130	UCLA C		2nd	3rd	2nd	4th	1st	3rd	2nd	3rd	4th	12	1400	1	3	3	0
131	ASDV OI	ESL	2nd	3rd	2nd	2nd	2nd	2nd	4th	3rd	4th	12	1388	0	5	2	0
132	UNSW C		3rd	1st	4th	1st	3rd	1st	3rd	4th	4th	12	1382	3	0	3	0
133	UADS A		4th	1st	3rd	2nd	2nd	2nd	4th	3rd	3rd	12	1376	1	3	3	0
134	QDU B		3rd	2nd	3rd	3rd	1st	2nd	3rd	4th	3rd	12	1375	1	2	5	0
135	UCLA D		1st	4th	3rd	3rd	4th	1st	3rd	4th	1st	12	1373	3	0	3	0
136	GUU A		3rd	3rd	3rd	1st	3rd	4th	1st	3rd	3rd	12	1373	2	0	6	0
137	QDU A		4th	2nd	3rd	1st	4th	3rd	1st	3rd	3rd	12	1367	2	1	4	0
138	McGill B		2nd	4th	1st	3rd	2nd	4th	4th	1st	3rd	12	1362	2	2	2	0
139	LC A		3rd	1st	2nd	2nd	4th	3rd	3rd	2nd	4th	12	1362	1	3	3	0
140	USPd A	ESL, EFL	2nd	4th	4th	1st	4th	2nd	3rd	3rd	1st	12	1356	2	2	2	0
141	Rosario B	ESL, EFL	4th	2nd	2nd	4th	3rd	1st	3rd	3rd	2nd	12	1356	1	3	3	0
142	NU A		4th	1st	4th	3rd	1st	4th	2nd	1st	4th	12	1355	3	1	1	0
143	Bates C		3rd	2nd	1st	3rd	3rd	3rd	4th	4th	1st	12	1353	2	1	4	0
144	UKI A	ESL, EFL	3rd	3rd	1st	4th	4th	2nd	3rd	2nd	2nd	12	1352	1	3	3	0
145	Rosario A	ESL, EFL	4th	2nd	2nd	2nd	4th	1st	4th	4th	1st	12	1348	2	3	0	0
146	MUST A	ESL, EFL	3rd	4th	2nd	3rd	1st	4th	3rd	1st	3rd	12	1341	2	1	4	0
147	UTJamaica A		4th	1st	2nd	3rd	4th	3rd	3rd	2nd	2nd	12	1339	1	3	3	0
148	Colgate B		2nd	2nd	4th	4th	2nd	4th	2nd	2nd	2nd	12	1339	0	6	0	0
149	UTJamaica B		4th	4th	1st	4th	1st	4th	2nd	2nd	2nd	12	1334	2	3	0	0
150	Tokyo D	ESL	1st	4th	4th	4th	4th	2nd	1st	2nd	2nd	12	1329	2	3	0	0
151	PUCP A	ESL, EFL	4th	3rd	2nd	1st	2nd	3rd	3rd	3rd	4th	11	1381	1	2	4	0
152	MQU A		2nd	3rd	3rd	4th	1st	3rd	4th	1st	4th	11	1365	2	1	3	0
153	LSE B		2nd	3rd	4th	2nd	1st	4th	3rd	4th	2nd	11	1363	1	3	2	0
154	NU B		2nd	4th	1st	3rd	4th	1st	4th	2nd	4th	11	1361	2	2	1	0
155	UVM A		2nd	1st	4th	4th	3rd	2nd	2nd	4th	3rd	11	1358	1	3	2	0
156	Vanderbilt B		3rd	4th	1st	4th	2nd	4th	1st	2nd	4th	11	1353	2	2	1	0
157	CUDS B		3rd	4th	2nd	1st	4th	2nd	4th	1st	4th	11	1350	2	2	1	0
158	WUDU A		2nd	4th	3rd	2nd	3rd	1st	3rd	3rd	4th	11	1350	1	2	4	2
159	Athens KM	ESL, EFL	3rd	4th	1st	3rd	1st	3rd	4th	2nd	4th	11	1349	2	1	3	0
160	Trincoll BR	ESL	3rd	3rd	2nd	4th	3rd	3rd	3rd	2nd	2nd	11	1348	0	3	5	0
161	Wisconsin B		3rd	4th	1st	3rd	4th	1st	4th	4th	1st	11	1347	3	0	2	0
162	MBY A		4th	3rd	3rd	2nd	2nd	3rd	3rd	3rd	2nd	11	1347	0	3	5	0
163	MBY B		3rd	4th	4th	1st	4th	2nd	1st	3rd	3rd	11	1342	2	1	3	0
164	Air Force B		2nd	4th	2nd	3rd	1st	4th	2nd	4th	3rd	11	1340	1	3	2	0
165	Harvard E	ESL	4th	3rd	3rd	3rd	2nd	2nd	4th	3rd	1st	11	1339	1	2	4	0
166	MUST B	ESL, EFL	4th	4th	2nd	3rd	1st	4th	4th	1st	2nd	11	1330	2	2	1	0
167	UVM Lassies		4th	2nd	3rd	3rd	4th	3rd	2nd	1st	3rd	11	1326	1	2	4	0
168	TAU MS	ESL	3rd	4th	2nd	4th	3rd	3rd	3rd	2nd	1st	11	1298	1	2	4	0
169	WUDU B		2nd	2nd	4th	3rd	2nd	4th	2nd	3rd	4th	10	1375	0	4	2	0
170	Alaska B		2nd	4th	1st	3rd	2nd	4th	4th	4th	2nd	10	1369	1	3	1	0
171	TEC CEM L	ESL, EFL	4th	1st	2nd	4th	2nd	4th	2nd	3rd	4th	10	1361	1	3	1	0
172	UCDS A	ESL	3rd	1st	3rd	4th	2nd	3rd	3rd	3rd	4th	10	1359	1	1	5	0
173	DCDC A		3rd	2nd	4th	4th	3rd	1st	4th	4th	1st	10	1350	2	1	2	0
174	MBY C		3rd	4th	1st	4th	2nd	2nd	2nd	4th	4th	10	1346	1	3	1	0
175	Cornell D		4th	4th	4th	1st	3rd	3rd	2nd	1st	4th	10	1343	2	1	2	0
176	Air Force A		3rd	4th	2nd	3rd	4th	1st	1st	4th	4th	10	1341	2	1	2	0
177	KDS A	ESL	4th	1st	3rd	4th	2nd	3rd	4th	4th	1st	10	1339	2	1	2	0
178	PDS B		2nd	4th	4th	2nd	3rd	4th	3rd	2nd	2nd	10	1339	0	4	2	0
179	PDS A		3rd	2nd	4th	4th	2nd	2nd	4th	2nd	3rd	10	1337	0	4	2	0
180	Fordham B		2nd	1st	3rd	4th	2nd	3rd	4th	4th	3rd	10	1336	1	2	3	0
181	SDU Oedip	ESL, EFL	4th	1st	4th	4th	1st	4th	3rd	2nd	3rd	10	1334	2	1	2	0
182	MAD B		4th	2nd	3rd	3rd	4th	2nd	1st	4th	3rd	10	1333	1	2	3	0
183	Colgate C		4th	2nd	3rd	2nd	1st	4th	4th	4th	2nd	10	1319	1	3	1	0
184	ICU A	ESL, EFL	4th	3rd	4th	2nd	4th	4th	1st	1st	3rd	10	1313	2	1	2	0
185	Tokyo C	ESL	3rd	2nd	4th	3rd	4th	3rd	1st	3rd	4th	9	1353	1	1	4	0
186	Queensland A		1st	4th	4th	4th	3rd	2nd	2nd	4th	3rd	9	1342	1	2	2	0
187	USPd B	ESL, EFL	4th	1st	4th	2nd	4th	3rd	3rd	3rd	3rd	9	1339	1	1	4	0
188	Clemson A		4th	2nd	4th	2nd	3rd	3rd	2nd	3rd	4th	9	1333	0	3	3	0
189	Fordham A		2nd	4th	2nd	4th	2nd	2nd	4th	3rd	4th	9	1332	0	4	1	0
190	Dartmouth C		3rd	3rd	4th	1st	3rd	4th	4th	1st	4th	9	1319	2	0	3	0
191	LC B		2nd	4th	4th	4th	2nd	4th	2nd	4th	1st	9	1317	1	3	0	0
192	TAU RO	ESL	3rd	4th	3rd	1st	4th	4th	4th	1st	3rd	9	1310	2	0	3	0
193	SDUFRJ B	ESL, EFL	4th	4th	2nd	4th	3rd	1st	4th	3rd	2nd	9	1306	1	2	2	1
194	Swing 9 (R5)		—	—	—	—	1st	3rd	1st	2nd	—	9	596	2	1	1	4
195	Swing 11 (R5)		—	—	—	—	2nd	1st	3rd	1st	—	9	594	2	1	1	4
196	SDUFRJ A	ESL, EFL	4th	4th	3rd	3rd	2nd	4th	1st	3rd	4th	8	1331	1	1	3	0
197	Alaska A		3rd	4th	3rd	4th	4th	1st	2nd	4th	3rd	8	1327	1	1	3	0
198	Vanderbilt C		4th	3rd	4th	1st	4th	4th	1st	3rd	4th	8	1324	2	0	2	0
199	TCD Hist B		4th	1st	3rd	4th	3rd	3rd	4th	4th	2nd	8	1323	1	1	3	0
200	Colgate A		3rd	3rd	4th	4th	2nd	4th	3rd	3rd	2nd	8	1321	0	2	4	0
201=	SPU A		4th	2nd	4th	3rd	4th	2nd	4th	4th	1st	8	1319	1	2	1	0
201=	USPd C	ESL, EFL	4th	4th	4th	2nd	1st	3rd	4th	2nd	4th	8	1319	1	2	1	0
203	SDUC A	ESL, EFL	4th	3rd	3rd	4th	2nd	2nd	3rd	4th	3rd	8	1312	0	2	4	0
204	Rosario C	ESL, EFL	3rd	4th	3rd	3rd	4th	4th	2nd	3rd	3rd	7	1328	0	1	5	0
205	TU SEDA	ESL, EFL	4th	3rd	4th	3rd	2nd	1st	4th	4th	4th	7	1295	1	1	2	0
206	Swing 10 (R5)		—	—	—	—	3rd	2nd	3rd	1st	4th	7	719	1	1	2	5
207	UCV A	ESL, EFL	4th	3rd	4th	3rd	1st	4th	4th	3rd	4th	6	1285	1	0	3	0
208	CTC A		4th	4th	3rd	4th	4th	1st	4th	2nd	—	6	1132	1	1	1	0
209	Wheaton A		4th	3rd	4th	4th	3rd	3rd	2nd	4th	4th	5	1263	0	1	3	0
210	Chula A		4th	3rd	4th	3rd	3rd	4th	4th	4th	2nd	5	1253	0	1	3	0
211	UNIMET A	ESL, EFL	4th	4th	3rd	4th	4th	3rd	4th	3rd	3rd	4	1219	0	0	4	0
212	CTC B		4th	4th	4th	4th	4th	4th	3rd	2nd	—	3	1116	0	1	1	0
213	Swing 8 (USED R4)		—	—	—	1st	—	—	—	—	—	3	148	1	0	0	1
214	Swing 7 (USED R4)		—	—	—	2nd	—	—	—	—	—	2	148	0	1	0	1
215	Swing 2 (USED R1)		3rd	—	—	—	—	—	—	—	—	1	155	0	0	1	1
216	Swing 3 (USED R1)		3rd	—	—	—	—	—	—	—	—	1	150	0	0	1	1
217	Swing 6 (USED R4)		—	—	—	3rd	—	—	—	—	—	1	147	0	0	1	1
218	Swing 5 (USED R1)		4th	—	—	—	—	—	—	—	—	0	150	0	0	0	1
219	Swing 4 (USED R1)		4th	—	—	—	—	—	—	—	—	0	147	0	0	0	1
220	Swing 1  (USED R1)		4th	—	—	—	—	—	—	—	—	0	146	0	0	0	1
221=	ALU A		—	—	—	—	—	—	—	—	—	—	—	0	0	0	0
221=	CityUHK A		—	—	—	—	—	—	—	—	—	—	—	0	0	0	0
221=	PKU A	ESL, EFL	—	—	—	—	—	—	—	—	—	—	—	0	0	0	0
221=	Strathmore A	ESL	—	—	—	—	—	—	—	—	—	—	—	0	0	0	0
221=	Rochester A		—	—	—	—	—	—	—	—	—	—	—	0	0	0	0
221=	Swing 12 (R6)		—	—	—	—	—	—	—	—	—	—	—	0	0	0	0
221=	Swing 13 (R6)		—	—	—	—	—	—	—	—	—	—	—	0	0	0	0
221=	Swing 14 (R6)		—	—	—	—	—	—	—	—	—	—	—	0	0	0	0
