team	institution	result	side	ballot	adjudicators
ACS Rakovski*	—	4th	Opening Government	View Ballot	Youngwoo ParkⒸ , Felix Baldauf , Keshav Rai , Anvesha Singh*Ⓣ
UBC DS ZJ	UBC	3rd	Opening Opposition	View Ballot	Youngwoo ParkⒸ , Felix Baldauf , Keshav Rai , Anvesha Singh*Ⓣ
Pour decisions	—	1st	Closing Government	View Ballot	Youngwoo ParkⒸ , Felix Baldauf , Keshav Rai , Anvesha Singh*Ⓣ
EUDU 1.5 Americans = 1.5 Minutes o	—	2nd	Closing Opposition	View Ballot	Youngwoo ParkⒸ , Felix Baldauf , Keshav Rai , Anvesha Singh*Ⓣ
St Andrews We have Cambridge A at home	St Andrews	1st	Opening Government	View Ballot	Pranav AnandⒸ , Henrietta Vanni , Trudeau Okech , Tasdid IftesumⓉ
GUU D	GUU	3rd	Opening Opposition	View Ballot	Pranav AnandⒸ , Henrietta Vanni , Trudeau Okech , Tasdid IftesumⓉ
CUDS we wear red coats	CUDS	2nd	Closing Government	View Ballot	Pranav AnandⒸ , Henrietta Vanni , Trudeau Okech , Tasdid IftesumⓉ
Haifa B	Haifa	4th	Closing Opposition	View Ballot	Pranav AnandⒸ , Henrietta Vanni , Trudeau Okech , Tasdid IftesumⓉ
Tallinn HS A	Tallinn HS	3rd	Opening Government	View Ballot	UphieⒸ , Dominik Bartosz Jasiolek , Maša Popesković , Anya ChaudharyⓉ
The one from the more racist count	—	1st	Opening Opposition	View Ballot	UphieⒸ , Dominik Bartosz Jasiolek , Maša Popesković , Anya ChaudharyⓉ
Oxford Is this not a DotY prep comp?	Oxford	4th	Closing Government	View Ballot	UphieⒸ , Dominik Bartosz Jasiolek , Maša Popesković , Anya ChaudharyⓉ
KNUST Schrödinger had a baby y’all	KNUST	2nd	Closing Opposition	View Ballot	UphieⒸ , Dominik Bartosz Jasiolek , Maša Popesković , Anya ChaudharyⓉ
TCD Phil esl &amp; novice (#pick a struggle)	TCD Phil	2nd	Opening Government	View Ballot	Craig McDonaldⒸ , Ana Nari Carrillo , Sasha Khovrak , Imran Aly RassiwallaⓉ , Rina HendrieⓉ
Imperial team name	Imperial	3rd	Opening Opposition	View Ballot	Craig McDonaldⒸ , Ana Nari Carrillo , Sasha Khovrak , Imran Aly RassiwallaⓉ , Rina HendrieⓉ
Lost and Found	—	1st	Closing Government	View Ballot	Craig McDonaldⒸ , Ana Nari Carrillo , Sasha Khovrak , Imran Aly RassiwallaⓉ , Rina HendrieⓉ
Dr.OT	—	4th	Closing Opposition	View Ballot	Craig McDonaldⒸ , Ana Nari Carrillo , Sasha Khovrak , Imran Aly RassiwallaⓉ , Rina HendrieⓉ
Perusylvania	—	1st	Opening Government	View Ballot	Tejas SubramaniamⒸ , Eoin Connolly , Jason PocockⓉ
All Izz well*	—	2nd	Opening Opposition	View Ballot	Tejas SubramaniamⒸ , Eoin Connolly , Jason PocockⓉ
English Mastiff and St. Bernard	—	3rd	Closing Government	View Ballot	Tejas SubramaniamⒸ , Eoin Connolly , Jason PocockⓉ
DK Wien AT	DK Wien	4th	Closing Opposition	View Ballot	Tejas SubramaniamⒸ , Eoin Connolly , Jason PocockⓉ
Subang Jaya A	—	2nd	Opening Government	View Ballot	Alexis Baraka McharoⒸ , Andràs Meleg , Tousif Tanvir Alam , Larion AklanⓉ
UCL B	UCL	1st	Opening Opposition	View Ballot	Alexis Baraka McharoⒸ , Andràs Meleg , Tousif Tanvir Alam , Larion AklanⓉ
Jack Story Called Us Bizarre and D	—	4th	Closing Government	View Ballot	Alexis Baraka McharoⒸ , Andràs Meleg , Tousif Tanvir Alam , Larion AklanⓉ
UWODS East India Company	UWODS	3rd	Closing Opposition	View Ballot	Alexis Baraka McharoⒸ , Andràs Meleg , Tousif Tanvir Alam , Larion AklanⓉ
FGV deleglobers*	FGV	4th	Opening Government	View Ballot	Shireen AliⒸ , Nathaniel Fleku , Prosper , Uzair , Aoife Mc LaughlinⓉ
Franka Boender’s Strongest Soldier	—	1st	Closing Government	View Ballot	Shireen AliⒸ , Nathaniel Fleku , Prosper , Uzair , Aoife Mc LaughlinⓉ
Ottawa The Heart	Ottawa	2nd	Closing Opposition	View Ballot	Shireen AliⒸ , Nathaniel Fleku , Prosper , Uzair , Aoife Mc LaughlinⓉ
KCL missing the F1 Monaco Grand Prix f	KCL	3rd	Opening Opposition	View Ballot	Shireen AliⒸ , Nathaniel Fleku , Prosper , Uzair , Aoife Mc LaughlinⓉ
